香港频道,#genre#
翡翠台,https://live.catvod.com/live.php?id=jade_twn&token=3ed46c7b8418fa407ce1a54d981a865401a7a7a34520a230042d4fae4ab2005e%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
翡翠台,https://live.catvod.com/live.php?id=Jade_xue&token=c783de1f12a2dd21c1b09d9a9d30906eb07e133bb919db00f1ec643ae43d6b57%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
无线新闻,https://live.catvod.com/live.php?id=inews_twn&token=bb9e389eeebe6dcc5dedbfc491a06e427a591ddd546ad8e4992ae5178f4b6b62%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
TVBPLUS,https://live.catvod.com/live.php?id=j2_twn&token=f420132932b99186566828984437150e2baa02fc8bb53a03d070532492e9bf95%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
明珠台,https://live.catvod.com/live.php?id=pearl_twn&token=f24597f4149ec1f689a7f580c589b112bcf3c20e2fca0994f12c60c6435819b1%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
凤凰香港,https://live.catvod.com/live.php?id=hkphoenix_twn&token=9e822ed11294db6de1e9875276e2640e623484b6d51105ac4b6ba390f02aa07e%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
HOYTV,https://live.catvod.com/live.php?id=hoycaijing_twn&token=c391d0af3e82a7e0ad75113fcfd5d66dc27934e563e8017c1a1c4dba77215f4d%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
RTHK31,https://live.catvod.com/live.php?id=rhk31_twn&token=22f76044e329e8cb5770e0ccf15ee3fe97b31e55a2d1f255d528f36888e1bc9e%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
viutv,https://live.catvod.com/live.php?id=viu1_twn&token=700a1187a54801bd89b8ca3310b64b9232be46962722e593d3dee29e80fa6c9a%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
RTHK32,https://live.catvod.com/live.php?id=rhk32_twn&token=1b22907225e8eb5c5a23108d7c0ed02ff38e3d8e1835380ff6176edae10f3ffa%3A1761268980%3AMTIwLjIwMy4xNzAuMTM%3D
