咪咕频道,#genre#
2025年9月3号阅兵,https://vip.dytt-cine.com/20250903/54616_ce842c8a/index.m3u8
CCTV-1HD,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv1hd&pwd=jsdecode
CCTV-1HD,http://222.173.9.81/00/SNM/CHANNEL00000311/index.m3u8
CCTV-1HD,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=2&id=cctv1hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-1HD,https://live-auth.51kandianshi.com/szgd/cctv1.m3u8
CCTV-1HD,htmlplay://https://app.hfbtc.cn/shows/2/6.html@@action=play@@
CCTV-1HD,https://zhztsrs.edehong.com:8001/srs1/matrix/102667.flv
CCTV-1HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000488&pwd=jsdecode
CCTV-1HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv1hd&pwd=jsdecode
CCTV-1HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv1hd&pwd=jsdecode
CCTV-1HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000484&pwd=jsdecode
CCTV-1HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000489&pwd=jsdecode
CCTV-1HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000201&pwd=jsdecode
CCTV-1HD,kdsvod://http://v.91kds.com/b7/hoge.m3u8?ip=hnldtv&id=8&pwd=jsdecode@@User-Agent=Mozilla@@
CCTV-1HD,http://223.85.50.233:8085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2HD,kdsvod://http://v.91kds.com/b7/cctv2.m3u8?id=cctv2hd&pwd=jsdecode
CCTV-2HD,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv2hd&pwd=jsdecode
CCTV-2HD,http://222.173.9.81/00/SNM/CHANNEL00000317/index.m3u8
CCTV-2HD,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=2&id=cctv2hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-2HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv2hd&pwd=jsdecode
CCTV-2HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv2hd&pwd=jsdecode
CCTV-2HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv2hd&pwd=jsdecode
CCTV-2HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv2hd&pwd=jsdecode
CCTV-2HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000061&pwd=jsdecode
CCTV-2HD,http://223.85.50.233:8085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3HD,http://222.173.9.81/00/SNM/CHANNEL00000359/index.m3u8
CCTV-3HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv3hd&pwd=jsdecode
CCTV-3HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv3hd&pwd=jsdecode
CCTV-3HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv3hd&pwd=jsdecode
CCTV-3HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv3hd&pwd=jsdecode
CCTV-3HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000062&pwd=jsdecode
CCTV-3HD,http://223.85.50.233:8085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4HD,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv4hd&pwd=jsdecode
CCTV-4HD,http://222.173.9.81/00/SNM/CHANNEL00000320/index.m3u8
CCTV-4HD,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=2&id=cctv4hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-4HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv4hd&pwd=jsdecode
CCTV-4HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv4hd&pwd=jsdecode
CCTV-4HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv4hd&pwd=jsdecode
CCTV-4HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv4hd&pwd=jsdecode
CCTV-4HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000063&pwd=jsdecode
CCTV-4HD,http://223.85.50.233:8085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5HD,http://222.173.9.81/00/SNM/CHANNEL00000360/index.m3u8
CCTV-5HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv5hd&pwd=jsdecode
CCTV-5HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv5hd&pwd=jsdecode
CCTV-5HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv5hd&pwd=jsdecode
CCTV-5HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv5hd&pwd=jsdecode
CCTV-5HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000064&pwd=jsdecode
CCTV-5HD,http://223.85.50.233:8085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-6HD,http://222.173.9.81/00/SNM/CHANNEL00000361/index.m3u8
CCTV-6HD,kdsvod://http://v.91kds.com/b7/1905.m3u8?id=cctv6hd&pwd=jsdecode@@Referer=https://www.1905.com/cctv6/live/@@
CCTV-6HD,kdsvod://http://v.91kds.com/b7/tv189.m3u8?id=cctv6hd&pwd=jsdecode
CCTV-6HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv6hd&pwd=jsdecode
CCTV-6HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv6hd&pwd=jsdecode
CCTV-6HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv6hd&pwd=jsdecode
CCTV-6HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv6hd&pwd=jsdecode
CCTV-6HD,kdsvod://http://v.91kds.com/c7/bfgd.m3u8?id=4200000065&pwd=jsdecode
CCTV-6HD,http://223.85.50.233:8085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7HD,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv7hd&pwd=jsdecode
CCTV-7HD,https://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV-7HD,http://222.173.9.81/00/SNM/CHANNEL00000318/index.m3u8
CCTV-7HD,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=2&id=cctv7hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-7HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv7hd&pwd=jsdecode
CCTV-7HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?id=cctv7hd&pwd=jsdecode
CCTV-7HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=dx&id=cctv7hd&pwd=jsdecode
CCTV-7HD,kdsvod://http://v.91kds.com/b7/jdtv2.m3u8?isp=lt&id=cctv7hd&pwd=jsdecode
