綜合其他,#genre#
民視第一台,http://live1.robyang.ggff.net:50009/4gtv-4gtv003/index.m3u8
民視台灣台,http://live1.robyang.ggff.net:50009/4gtv-4gtv001/index.m3u8
民視HD,http://live1.robyang.ggff.net:50009/4gtv-4gtv002/index.m3u8
大愛電視,http://live1.robyang.ggff.net:50009/4gtv-live007/index.m3u8
中視,http://live1.robyang.ggff.net:50009/4gtv-4gtv040/index.m3u8
華視,http://live1.robyang.ggff.net:50009/4gtv-4gtv041/index.m3u8
三立綜合合,http://live1.robyang.ggff.net:50009/4gtv-live207/index.m3u8
客家電視,http://live1.robyang.ggff.net:50009/4gtv-4gtv043/index.m3u8
中視菁采台,http://live1.robyang.ggff.net:50009/4gtv-4gtv064/index.m3u8
靖天綜合,http://live1.robyang.ggff.net:50009/4gtv-4gtv046/index.m3u8
靖天日本,http://live1.robyang.ggff.net:50009/4gtv-4gtv047/index.m3u8
新唐人亞太台,http://live1.robyang.ggff.net:50009/4gtv-live050/index.m3u8
Arirang TV,http://live1.robyang.ggff.net:50009/4gtv-4gtv079/index.m3u8
原住民族電視台,http://live1.robyang.ggff.net:50009/4gtv-live014/index.m3u8
東森購物四台,http://live1.robyang.ggff.net:50009/4gtv-live049/index.m3u8
東森購物一台,http://live1.robyang.ggff.net:50009/4gtv-live047/index.m3u8
東森購物一台,http://live1.robyang.ggff.net:50009/4gtv-4gtv102/index.m3u8
東森購物一台,http://live1.robyang.ggff.net:50009/of-4gtv-4gtv102/index.m3u8
TVBS HD,http://live1.robyang.ggff.net:50009/4gtv-4gtv073/index.m3u8
東森購物二台,http://live1.robyang.ggff.net:50009/4gtv-live046/index.m3u8
東森購物二台,http://live1.robyang.ggff.net:50009/4gtv-4gtv103/index.m3u8
東森購物二台,http://live1.robyang.ggff.net:50009/of-4gtv-4gtv103/index.m3u8
靖天育樂,http://live1.robyang.ggff.net:50009/4gtv-4gtv062/index.m3u8
靖天國際,http://live1.robyang.ggff.net:50009/4gtv-4gtv063/index.m3u8
靖天歡樂,http://live1.robyang.ggff.net:50009/4gtv-4gtv054/index.m3u8
靖天資訊,http://live1.robyang.ggff.net:50009/4gtv-4gtv065/index.m3u8
韓國娛樂台,http://live1.robyang.ggff.net:50009/4gtv-4gtv016/index.m3u8
東森購物三台,http://live1.robyang.ggff.net:50009/4gtv-live048/index.m3u8
好消息,http://live1.robyang.ggff.net:50009/litv-ftv16/index.m3u8
