极速港台2,#genre#

翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
无线新闻台,http://php.jdshipin.com/smt.php?id=inews_twn
NOW新闻,http://mytv.cdn.com.mp/live/now/stream.m3u8
TVB星河,http://php.jdshipin.com/smt.php?id=Xinhe
千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
八度空间,http://php.jdshipin.com/smt.php?id=TV8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台4k,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1港澳版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
TVB plus备2,https://vdm6-ali.wujiekeji1.com/live/h6-2.flv
TVB plus备3,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
TVB plus备4,http://live.p2pcy.xyz:18000/hls/23df/23df_live.m3u8

凤凰中文,http://122.224.232.226:8888/udp/233.50.200.191:5140
凤凰资讯,http://122.224.232.226:8888/udp/233.50.200.192:5140
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
TVB星河3,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
娱乐新闻,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVBJ1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8

中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
民视,rtmp://f13h.mine.nu/sat/tv051
纬来体育,http://mtw.so/5yqGDH
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49号,http://61.221.215.25:8800/hls/49/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8


极速169,#genre#
翡翠台,http://erp.giihgtidg.com:8080/live/jade01.m3u8
无线新闻,http://erp.giihgtidg.com:8080/live/wxxw01.m3u8
mytv18,https://ali.hlspull.yximgs.com/live/xiangjiaogemytv0318.flv
Hoy77,https://ali.hlspull.yximgs.com/live/xiangjiaogehoy77511.flv
广电翡翠,https://ali.hlspull.yximgs.com/live/xiangjiaoge15131132145.flv
tvbplus,https://ali.hlspull.yximgs.com/live/xaigjiaogetvbplus01.flv
Hoy78,https://ali.hlspull.yximgs.com/live/xaigjiaogehoy7801.flv
Now爆谷,https://ali.hlspull.yximgs.com/live/xiangjiaoge1116163133.flv
Now星影,https://ali.hlspull.yximgs.com/live/xiangjiaogef31fdg31g1gdg.flv
Now新闻,https://gdfire2.67890123.cn:8088/live/nowxw01.m3u8
Now体育1,http://erp.giihgtidg.com:8080/live/nowxw01.m3u8
Now体育2,https://gdfire2.67890123.cn:8088/live/nowty101.m3u8
Now体育3,https://gdfire2.67890123.cn:8088/live/nowty201.m3u8
东森新闻,https://gdfire2.67890123.cn:8088/live/dsxw01.m3u8
中天新闻,https://gdfire2.67890123.cn:8088/live/ztxw01.m3u8
中天新闻2,https://gdfire2.67890123.cn:8088/live/ztxw201.m3u8
寰宇新闻,https://gdfire2.67890123.cn:8088/live/hyxw01.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8

极速阿威,#genre#
翡翠台,http://zb.xmzb.xyz/8888.php?id=be一翡翠台
翡翠台(备),http://ali.hlspull.yximgs.com/live/qwt_feicui.flv
中天新闻,http://ali.hlspull.yximgs.com/live/qwt_zhongtianxinwen.flv
凤凰资讯,http://ali.hlspull.yximgs.com/live/qwt_fhzx.flv
凤凰中文,http://ali.hlspull.yximgs.com/live/qwt_fhzw.flv
中天新闻2,http://ali.hlspull.yximgs.com/live/awei_ztxw2.flv
中天亚洲,http://ali.hlspull.yximgs.com/live/awei_ztyz.flv
中天综合,http://ali.hlspull.yximgs.com/live/awei_ztzh.flv
翡翠台,http://ali.hlspull.yximgs.com/live/awei_jade.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
tvbplus,http://ali.hlspull.yximgs.com/live/awei_j2.flv
民视第一,http://ali.hlspull.yximgs.com/live/awei_msdy.flv
民视台湾,http://ali.hlspull.yximgs.com/live/awei_mstw.flv
HOY77,http://ali.hlspull.yximgs.com/live/awei_hoy77.flv
HOY78,http://ali.hlspull.yximgs.com/live/awei_hoy78.flv
美亚电影,http://ali.hlspull.yximgs.com/live/awei_mydy.flv
东森超视,http://ali.hlspull.yximgs.com/live/awei_dscs.flv
东森综合,http://ali.hlspull.yximgs.com/live/awei_dszh.flv
八大第一,http://ali.hlspull.yximgs.com/live/awei_bddy.flv
八大综合,http://ali.hlspull.yximgs.com/live/awei_bdzh.flv
爱尔达娱乐,http://ali.hlspull.yximgs.com/live/awei_aedyl.flv

极速mytv,#genre#
TVBPlus,https://mysupertv.pendy.dpdns.org/TVBPlus/tvbplus.m3u8
