綜合其他,#genre#
民視第一台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv003/index.m3u8
民視台灣台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv001/index.m3u8
民視HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv002/index.m3u8
大愛電視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live007/index.m3u8
中視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv040/index.m3u8
華視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv041/index.m3u8
三立綜合合,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live207/index.m3u8
客家電視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv043/index.m3u8
中視菁采台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv064/index.m3u8
靖天綜合,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv046/index.m3u8
靖天日本,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv047/index.m3u8
新唐人亞太台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live050/index.m3u8
Arirang TV,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv079/index.m3u8
原住民族電視台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live014/index.m3u8
東森購物四台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live049/index.m3u8
東森購物一台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live047/index.m3u8
東森購物一台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv102/index.m3u8
東森購物一台,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv102/index.m3u8
TVBS HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv073/index.m3u8
東森購物二台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live046/index.m3u8
東森購物二台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv103/index.m3u8
東森購物二台,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv103/index.m3u8
靖天育樂,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv062/index.m3u8
靖天國際,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv063/index.m3u8
靖天歡樂,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv054/index.m3u8
靖天資訊,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv065/index.m3u8
韓國娛樂台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv016/index.m3u8
東森購物三台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live048/index.m3u8
好消息,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv16/index.m3u8
好消息2台,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv17/index.m3u8
大愛二台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live106/index.m3u8
人間衛視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live008/index.m3u8
國會頻道1,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv084/index.m3u8
國會頻道2,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv085/index.m3u8
民視第一台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv003/index.m3u8
民視台灣台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv001/index.m3u8
中視,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv040/index.m3u8
華視,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv041/index.m3u8
中天亞洲台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv109/index.m3u8
三立綜合合,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live207/index.m3u8
客家電視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv043/index.m3u8
中視菁采台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv064/index.m3u8
