央卫频道,#genre#

CCTV-1,http://27.16.206.233:8989/rtp/239.254.96.96:8550
CCTV-2,http://27.16.206.233:8989/rtp/239.69.1.102:10250
CCTV-3,http://27.16.206.233:8989/rtp/239.69.1.122:10370
CCTV-4,http://27.16.206.233:8989/rtp/239.69.1.138:10466
CCTV-5,http://27.16.206.233:8989/rtp/239.69.1.123:10376
CCTV-6,http://27.16.206.233:8989/rtp/239.69.1.124:10382
CCTV-7,http://27.16.206.233:8989/rtp/239.69.1.103:10256
CCTV-8,http://27.16.206.233:8989/rtp/239.69.1.125:10388
CCTV-9,http://27.16.206.233:8989/rtp/239.69.1.104:10262
CCTV-10,http://27.16.206.233:8989/rtp/239.69.1.105:10268
CCTV-11,http://27.16.206.233:8989/rtp/239.69.1.154:10560
CCTV-12,http://27.16.206.233:8989/rtp/239.69.1.106:10274
CCTV-13,http://27.16.206.233:8989/rtp/239.254.96.161:9040
CCTV-14,http://27.16.206.233:8989/rtp/239.69.1.107:10280
CCTV-15,http://27.16.206.233:8989/rtp/239.69.1.155:10566
CCTV-16,http://27.16.206.233:8989/rtp/239.69.1.247:11124
CCTV-17,http://27.16.206.233:8989/rtp/239.69.1.152:10548
CCTV-5+,http://27.16.206.233:8989/rtp/239.254.96.234:9484
湖北卫视,http://27.16.206.233:8989/rtp/239.254.96.115:8664
河北卫视,http://27.16.206.233:8989/rtp/239.254.96.113:9616
深圳卫视,http://27.16.206.233:8989/rtp/239.254.96.137:8896
黑龙江卫视,http://27.16.206.233:8989/rtp/239.254.96.138:8902
湖南卫视,http://27.16.206.233:8989/rtp/239.254.96.139:8908
广东卫视,http://27.16.206.233:8989/rtp/239.254.96.140:8914
北京卫视,http://27.16.206.233:8989/rtp/239.254.96.141:8920
东方卫视,http://27.16.206.233:8989/rtp/239.254.96.142:8926
浙江卫视,http://27.16.206.233:8989/rtp/239.254.96.143:8932
江苏卫视,http://27.16.206.233:8989/rtp/239.254.96.144:8938
天津卫视,http://27.16.206.233:8989/rtp/239.69.1.68:10048
山东卫视,http://27.16.206.233:8989/rtp/239.69.1.69:10054
安徽卫视,http://27.16.206.233:8989/rtp/239.69.1.70:10060
辽宁卫视,http://27.16.206.233:8989/rtp/239.69.1.71:10066
东南卫视,http://27.16.206.233:8989/rtp/239.69.1.108:10286
江西卫视,http://27.16.206.233:8989/rtp/239.69.1.126:10394
重庆卫视,http://27.16.206.233:8989/rtp/239.69.1.149:10530
贵州卫视,http://27.16.206.233:8989/rtp/239.69.1.150:10536
海南卫视,http://27.16.206.233:8989/rtp/239.69.1.151:10542
河南卫视,http://27.16.206.233:8989/rtp/239.69.1.168:10644
四川卫视,http://27.16.206.233:8989/rtp/239.69.1.169:10650
广西卫视,http://27.16.206.233:8989/rtp/239.69.1.191:10788
吉林卫视,http://27.16.206.233:8989/rtp/239.69.1.212:10914
河北卫视,http://27.16.206.233:8989/rtp/239.69.1.157:10578
东方卫视,http://27.16.206.233:8989/rtp/239.69.1.173:10674
江苏卫视,http://27.16.206.233:8989/rtp/239.69.1.174:10680

CCTV-7,https://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV-13,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv13_mbd.m3u8?auth_key=1755584276-0-569387512016035901-d65ef122b371c90aa0dd12fffd59f46f&yid=569387512016035901&aliyun_uuid=Znv0JFJTX0cDAKzW3YSIkLWq&dlnaopt=2&tpseq=3'

CCTV-1,http://123.118.98.52:3391/rtp/239.3.1.129:8008$北京联通
CCTV-2,http://123.118.98.52:3391/rtp/239.3.1.60:8084$北京联通
CCTV-3,http://123.118.98.52:3391/rtp/239.3.1.172:8001$北京联通
CCTV-4,http://123.118.98.52:3391/rtp/239.3.1.105:8092$北京联通
CCTV-5,http://123.118.98.52:3391/rtp/239.3.1.173:8001$北京联通
CCTV-6,http://123.118.98.52:3391/rtp/239.3.1.174:8001$北京联通
CCTV-7,http://123.118.98.52:3391/rtp/239.3.1.61:8104$北京联通
CCTV-8,http://123.118.98.52:3391/rtp/239.3.1.175:8001$北京联通
CCTV-9,http://123.118.98.52:3391/rtp/239.3.1.62:8112$北京联通
CCTV-10,http://123.118.98.52:3391/rtp/239.3.1.63:8116$北京联通
CCTV-11,http://123.118.98.52:3391/rtp/239.3.1.152:8120$北京联通
CCTV-12,http://123.118.98.52:3391/rtp/239.3.1.64:8124$北京联通
CCTV-13,http://123.118.98.52:3391/rtp/239.3.1.124:8128$北京联通
CCTV-14,http://123.118.98.52:3391/rtp/239.3.1.65:8132$北京联通
CCTV-15,http://123.118.98.52:3391/rtp/239.3.1.153:8136$北京联通
CCTV-16,http://123.118.98.52:3391/rtp/239.3.1.184:8001$北京联通
CCTV-17,http://123.118.98.52:3391/rtp/239.3.1.151:8144$北京联通
CCTV-5+,http://123.118.98.52:3391/rtp/239.3.1.130:8004$北京联通
安徽卫视,http://123.118.98.52:3391/rtp/239.3.1.211:8064$北京联通
北京卫视,http://123.118.98.52:3391/rtp/239.3.1.241:8000$北京联通
兵团卫视,http://123.118.98.52:3391/rtp/239.3.1.144:4120$北京联通
东方卫视,http://123.118.98.52:3391/rtp/239.3.1.136:8032$北京联通
东南卫视,http://123.118.98.52:3391/rtp/239.3.1.156:8148$北京联通
甘肃卫视,http://123.118.98.52:3391/rtp/239.3.1.49:8188$北京联通
广东卫视,http://123.118.98.52:3391/rtp/239.3.1.142:8048$北京联通
广西卫视,http://123.118.98.52:3391/rtp/239.3.1.39:8300$北京联通
贵州卫视,http://123.118.98.52:3391/rtp/239.3.1.149:8076$北京联通
海南卫视,http://123.118.98.52:3391/rtp/239.3.1.45:8304$北京联通
河北卫视,http://123.118.98.52:3391/rtp/239.3.1.148:8072$北京联通
河南卫视,http://123.118.98.52:3391/rtp/239.3.1.27:8128$北京联通
黑龙江卫视,http://123.118.98.52:3391/rtp/239.3.1.133:8016$北京联通
