


央视卫视,#genre#

CCTV1,http://go.bkpcp.top/mg/cctv1 
CCTV2,http://go.bkpcp.top/mg/cctv2 
CCTV3,http://go.bkpcp.top/mg/cctv3 
CCTV4,http://go.bkpcp.top/mg/cctv4 
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p 
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7 
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10 
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12 
CCTV13,http://go.bkpcp.top/mg/cctv13 
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17 
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne 
CGTN-阿,http://go.bkpcp.top/mg/cgtna 
CGTN-法,http://go.bkpcp.top/mg/cgtnf 
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws 
江苏卫视,http://go.bkpcp.top/mg/jsws 
湖南卫视,http://go.bkpcp.top/mg/hunws 
广东卫视,http://go.bkpcp.top/mg/gdws 
深圳卫视4k,http://go.bkpcp.top/mg/szws 
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws 
湖北卫视,http://go.bkpcp.top/mg/hubws 
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws 
兵团卫视,http://go.bkpcp.top/mg/btws 
黑龙江视,http://go.bkpcp.top/mg/hljws 
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
4K超高清,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.249:8001
淘电影,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.250:8001
淘剧场,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.95:8001
淘娱乐,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.100:8001
淘Baby,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.238:8001
CHC动作电影,http://124.93.18.238:9002//hls/76/index.m3u8
CHC家庭影院,http://124.93.18.238:9002//hls/78/index.m3u8
CHC影迷电影,http://124.93.18.238:9002//hls/77/index.m3u8
灾难电影,#genre#
后天,https://m3u8.hmrvideo.com/play/0c8022a5af3d452698ff2f32d2a4a3de.m3u8
全天风暴,https://m3u8.hmrvideo.com/play/bf262280cd7340009686c97bf00357d6.m3u8
逃出生天,https://m3u8.hmrvideo.com/play/d62dd749d7a54e29a4bfcc97c6a7fd20.m3u8
龙卷风,https://m3u8.hmrvideo.com/play/2e13bb72fde74120904ed6b3a248dd92.m3u8
海浪,https://m3u8.hmrvideo.com/play/7e0a6846498443029e90c342e0e0775e.m3u8
冰峰暴,https://m3u8.hmrvideo.com/play/ccd852711e8d46a19c35788c040740b0.m3u8
极限逃生,https://m3u8.hmrvideo.com/play/3388f8b4653a4c15b3c2965624c351ef.m3u8
大逃生,https://m3u8.hmrvideo.com/play/5dd11406e3dd4f4b8d81bafc03a30008.m3u8
唐山大地震,https://m3u8.hmrvideo.com/play/18e24c2c9db04a01b0c62c92d1e8536a.m3u8
大蛇王,https://m3u8.hmrvideo.com/play/78c26d5186b24f85bb5bec6ed8573870.m3u8
地下27天,https://m3u8.hmrvideo.com/play/4b57412ff0a746d6ae5833914c14aa71.m3u8
垂直极限,https://m3u8.hmrvideo.com/play/84a45a131e154e6fa438157eb1f2711e.m3u8
2012世界末日,https://m3u8.hmrvideo.com/play/fc6da7b1cd5f4dd18bca0c96622dfe5a.m3u8
海神号,https://m3u8.hmrvideo.com/play/6d07562e796e4995a80cd06de5817913.m3u8
北海,https://m3u8.hmrvideo.com/play/bdcb904fffa14215907e9d8b84a261df.m3u8
大台风,https://m3u8.hmrvideo.com/play/18ef165e468f46afa3520a6abc2c5841.m3u8
食人鲨,https://m3u8.hmrvideo.com/play/5a38e5e6a5bc45198e3b4bd9a7fb7e88.m3u8
搜救,https://m3u8.hmrvideo.com/play/5eba56b0bfef4803b0f5bb0cc028da25.m3u8
鳄梦岛,https://m3u8.hmrvideo.com/play/94328203fec0452da942cbb0fa4ee088.m3u8
夺命营救,https://m3u8.hmrvideo.com/play/f64b9a7a8f054e7f8b7e702e09b9a7a3.m3u8
非常宣言,https://m3u8.hmrvideo.com/play/cd0716df255f42759e52c7f4b5bd2673.m3u8
2012,https://m3u8.hmrvideo.com/play/a9f7a721d9eb4c76b74790f719996a29.m3u8
海云台,https://m3u8.hmrvideo.com/play/f0dcef9f7f484887a184041f49ea46d0.m3u8
火烧摩天,楼https://m3u8.hmrvideo.com/play/85e38a9393864941a10fad546fcc621b.m3u8
绝对零度,https://m3u8.hmrvideo.com/play/d907fc6cc9034dd19576d5848355ad9f.m3u8
夺命地铁,https://m3u8.hmrvideo.com/play/a59e1bee65424039b463c49844d1e1a6.m3u8
中国救援,https://m3u8.hmrvideo.com/play/90cba5d7482f426a9f5bb0be7ef13277.m3u



星驰经典,#genre#

功夫,https://ukzy.ukubf4.com/20220407/j3bjFWpb/index.m3u8
国产凌凌漆,https://ukzy.ukubf4.com/20220330/CVILs5nr/index.m3u8
九品芝麻官,https://ukzy.ukubf4.com/20220407/CQI7owSE/index.m3u8
唐伯虎点秋香,https://ukzy.ukubf4.com/20220407/wnsgZzX9/index.m3u8
唐伯虎点秋香,https://v3.dious.cc/20220419/fgAtfUew/index.m3u8
逃学威龙2,https://alimov2.a.kwimgs.com/upic/2021/12/28/16/BMjAyMTEyMjgxNjUxMzhfNDAzMDAxOTlfNjM2ODQ1ODYxNzhfMF8z_b_Ba5bdfedb34d432e906dbc401975d5387.mp4
食神,https://ukzy.ukubf4.com/20220407/dtaM5NLB/index.m3u8
鹿鼎记2之神龙教,https://ukzy.ukubf4.com/20220404/gfSdtuvX/index.m3u8
咖喱辣椒,https://ukzy.ukubf4.com/20220407/2mftU655/index.m3u8
97家有喜事,https://ukzy.ukubf4.com/20220407/Ue4rNnif/index.m3u8
风雨同路,https://ukzy.ukubf4.com/20220408/cy7KQ4it/index.m3u8
风雨同路,https://v3.dious.cc/20220402/GquysVv9/index.m3u8
审死官,https://ukzy.ukubf4.com/20220407/OxgWrcNR/index.m3u8
望夫成龙,https://ukzy.ukubf4.com/20220407/jEakalqL/index.m3u8
