2025/08/21 09:10更新,#genre#
享受当下,https://gh.tryxd.cn/https://raw.githubusercontent.com/alantang1977/X/main/Pictures/Robot.mp4
港澳A组,#genre#
1900影剧室,http://iptv.jxpan.vip:18888/aio/douyu/7796193
爱星影视,http://iptv.jxpan.vip:18888/aio/douyu/9476806
冰冰影剧,http://iptv.jxpan.vip:18888/aio/douyu/74374
电影迷小雅,http://iptv.jxpan.vip:18888/aio/douyu/9639225
芳芳说故事,http://iptv.jxpan.vip:18888/aio/douyu/9401905
开箱嘤嘤怪,http://iptv.jxpan.vip:18888/aio/douyu/10319056
中华小当家,http://iptv.jxpan.vip:18888/aio/huya/11342413

港澳B组,#genre#
AMC电影,https://live.catvod.com/catvod_com.php?id=starmoviesgold_twn
AXNTaiwan,https://live.catvod.com/catvod_com.php?id=axn_twn
EYETV戏剧,https://live.catvod.com/catvod_com.php?id=eyetvxiju_twn
TVB星河台XingHe,https://live.catvod.com/catvod_com.php?id=Xinhe
TVBAsia,https://live.catvod.com/catvod_com.php?id=Tvbasia
TVBClassic,https://live.catvod.com/catvod_com.php?id=Tvbclassic
TVBEntertainment,https://live.catvod.com/catvod_com.php?id=Tvbentertainment
TVBJade,https://live.catvod.com/catvod_com.php?id=Tvbjade
TVBS欢乐台（备份）,https://live.catvod.com/catvod_com.php?id=tvbshuanle_twn
TVBS,https://live.catvod.com/catvod_com.php?id=tvbs
TVBSNews新闻台,https://live.catvod.com/catvod_com.php?id=tvbs_n
爱尔达影剧台,https://live.catvod.com/catvod_com.php?id=eltayingju_twn
八大第一GTVFirst,https://live.catvod.com/catvod_com.php?id=badafirst
八大戏剧GTVDrama,https://live.catvod.com/catvod_com.php?id=badadrama
八大综合GTVMetro,https://live.catvod.com/catvod_com.php?id=badazhonghe
大爱1台,https://live.catvod.com/catvod_com.php?id=daai_twn
大爱2台,https://live.catvod.com/catvod_com.php?id=daai2_twn
东森财经新闻ETTVBusiness,https://live.catvod.com/catvod_com.php?id=ettvcaijing_twn
东森超视,https://live.catvod.com/catvod_com.php?id=ettvsuper
东森电影ETTVMovie,https://live.catvod.com/catvod_com.php?id=ettvmovie
东森戏剧ETTVDrama,https://live.catvod.com/catvod_com.php?id=ettvdrama
东森新闻ETTVNews,https://live.catvod.com/catvod_com.php?id=ettvnews
东森洋片ETTVWestern,https://live.catvod.com/catvod_com.php?id=ettvwestern
东森幼幼YoyoTV,https://live.catvod.com/catvod_com.php?id=yoyo_twn
东森综合ETTVMetro,https://live.catvod.com/catvod_com.php?id=ettvzhonghe
翡翠台,https://live.catvod.com/catvod_com.php?id=jade_twn
翡翠台backup,https://live.catvod.com/catvod_com.php?id=Jade_xue
凤凰卫视,https://live.catvod.com/catvod_com.php?id=phoenixtv_hd
凤凰香港,https://live.catvod.com/catvod_com.php?id=hkphoenix_twn
凤凰资讯,https://live.catvod.com/catvod_com.php?id=phoenixinfo_hd
公视2,https://live.catvod.com/catvod_com.php?id=ctv2_twn
公视CTV,https://live.catvod.com/catvod_com.php?id=ctv_taiwan
华丽台（WahLaiToi）,https://live.catvod.com/catvod_com.php?id=Wlt
华视CTS,https://live.catvod.com/catvod_com.php?id=ctshd_twn
寰宇财经,https://live.catvod.com/catvod_com.php?id=huanyutaiwan_twn
寰宇新闻台,https://live.catvod.com/catvod_com.php?id=huanyuxinwen_twn
靖天卡通台,https://live.catvod.com/catvod_com.php?id=jingtiancartoon_twn
靖天台,https://live.catvod.com/catvod_com.php?id=jingtianintl_twn
龙华经典台,https://live.catvod.com/catvod_com.php?id=lunghuajingdian_twn
龙华偶像,https://live.catvod.com/catvod_com.php?id=lunghuaidol_twn
龙华戏剧LunghuaDrama,https://live.catvod.com/catvod_com.php?id=lunghuaxiju_twn
龙华洋片LunghuaWestern,https://live.catvod.com/catvod_com.php?id=lunghuawestern_twn
美亚电影,https://live.catvod.com/catvod_com.php?id=meiyamovie_twn
民视,https://live.catvod.com/catvod_com.php?id=ftvhd_taiwan
民视台湾台,https://live.catvod.com/catvod_com.php?id=ftvtaiwan_twn
民视新闻台FTVNews,https://live.catvod.com/catvod_com.php?id=ftvnew_taiwan
三立都会台,https://live.catvod.com/catvod_com.php?id=sanlidouhui_twn
三立台湾SanliTaiwan,https://live.catvod.com/catvod_com.php?id=sanlitaiwan
三立戏剧台,https://live.catvod.com/catvod_com.php?id=sanlixiju_twn
三立综合SanliMetro,https://live.catvod.com/catvod_com.php?id=sanlizhonghe
台视TTV,https://live.catvod.com/catvod_com.php?id=ttv_taiwan
台视新闻台,https://live.catvod.com/catvod_com.php?id=ttvnews_twn
台视综合台,https://live.catvod.com/catvod_com.php?id=ttvzhonghe
天映,https://live.catvod.com/catvod_com.php?id=ctv18_twn
纬来电影台,https://live.catvod.com/catvod_com.php?id=videolandmovie
纬来精彩,https://live.catvod.com/catvod_com.php?id=videolandspecial_twn
纬来日本台,https://live.catvod.com/catvod_com.php?id=videolandjapan
纬来体育台,https://live.catvod.com/catvod_com.php?id=videolandsport
纬来戏剧,https://live.catvod.com/catvod_com.php?id=videolandtv
纬来育乐,https://live.catvod.com/catvod_com.php?id=videolandmax
纬来综合台,https://live.catvod.com/catvod_com.php?id=videolandzonghe
卫视电影台,https://live.catvod.com/catvod_com.php?id=weishimovie_twn
小公视,https://live.catvod.com/catvod_com.php?id=pts3_twn
珍珠台,https://live.catvod.com/catvod_com.php?id=pearl_twn
