🇨🇳｜电视家源,#genre#

ZHurek-ADAM,https://vd2.bdstatic.com/mda-qcnibyr2rwj6fpsp/hd/cae_h264/1711198754258134389/mda-qcnibyr2rwj6fpsp.mp4
音乐欣赏1,https://vdse.bdstatic.com//fdd66fcdc2534a2e7e9ebe9e7c5e817c.mp4
音乐欣赏2,https://vdse.bdstatic.com//8c3e6535b1b1b67e85a02a5d66b124ef.mp4
音乐欣赏3,https://vd3.bdstatic.com/mda-pekbzwejzv6m3h6d/hd/cae_h264/1684832121402940833/mda-pekbzwejzv6m3h6d.mp4
音乐欣赏4,https://vd3.bdstatic.com/mda-nia9gqywiryyn8pk/576p/h264/1662878654763005591/mda-nia9gqywiryyn8pk.mp4
音乐欣赏5,https://vd3.bdstatic.com/mda-pb6cmxqdpjh7p1a4/sc/cae_h264/1675774662439529962/mda-pb6cmxqdpjh7p1a4.mp4
唢呐佛光初现,https://vd3.bdstatic.com/mda-qaqjqypzxfm3b7fs/576p/h264/1706191024809334342/mda-qaqjqypzxfm3b7fs.mp4,https://vd3.bdstatic.com/mda-nahka05xviatq8md/hd/cae_h264_delogo/1642516725055144095/mda-nahka05xviatq8md.mp4
##
🇨🇳｜央视频道,#genre#
CCTV1综合,https://migu.188766.xyz/?migutoken=7eeb59d65c2e5a6d051bec2f1d9192a0&id=CCTV1&pp=1
CCTV2财经,https://migu.188766.xyz/?migutoken=1f379a622c34fd95d9716955a51fe43e&id=CCTV2&pp=1
CCTV3综艺,https://migu.188766.xyz/?migutoken=c0a50ec41bd1cd10e380e8ef289d646d&id=CCTV3&pp=1
CCTV4中文国际,https://migu.188766.xyz/?migutoken=c0dc783cbf97a1cb202dd191938834f5&id=CCTV4&pp=1
CCTV5体育,https://migu.188766.xyz/?migutoken=c3f7486c69a48654bd6eb225f5c655f2&id=CCTV5&pp=1
CCTV5+体育赛事,https://migu.188766.xyz/?migutoken=0ce0db8446cd0d53e29093bfcf20e833&id=CCTV5p&pp=1
CCTV6电影,https://migu.188766.xyz/?migutoken=157a75e5e94a29386207dc191f2ff171&id=CCTV6&pp=1
CCTV7国防军事,https://migu.188766.xyz/?migutoken=2def2ab91539f9b9d8bf423596e56963&id=CCTV7&pp=1
CCTV8电视剧,https://migu.188766.xyz/?migutoken=6c20bfab5f9fcff15150e8a77028e27a&id=CCTV8&pp=1
CCTV9纪录,https://migu.188766.xyz/?migutoken=7d3e3337c05af48ef8d3700599682920&id=CCTV9&pp=1
CCTV10科教,https://migu.188766.xyz/?migutoken=d33a02ded863662fc6644e49ae295fa9&id=CCTV10&pp=1
CCTV11戏曲,https://migu.188766.xyz/?migutoken=d659ccaa6bebdd4f7b5f273f069f34ff&id=CCTV11&pp=1
CCTV12社会与法,https://migu.188766.xyz/?migutoken=e60a8a69f463c7c064ad8a6ee71f1973&id=CCTV12&pp=1
CCTV13新闻,https://migu.188766.xyz/?migutoken=8abe92d65d31b83a5285f24ae7471c35&id=CCTV13&pp=1
CCTV14少儿,https://migu.188766.xyz/?migutoken=39c6f4c64737a474bed870a4ba341dab&id=CCTV14&pp=1
CCTV15音乐,https://migu.188766.xyz/?migutoken=3836c2034049dc5396f9ed90357c6a74&id=CCTV15&pp=1
CCTV16奥林匹克,https://migu.188766.xyz/?migutoken=15aedada1586c7fe6ebb6c973c5f4a32&id=CCTV16&pp=1
CCTV17农业农村,https://migu.188766.xyz/?migutoken=af02a89b4cc208d9fc791ed124dfdd67&id=CCTV17&pp=1
CCTV4中文国际 欧洲,https://migu.188766.xyz/?migutoken=05a7d9792730efc90f3cfdbbb070d11f&id=CCTV4%E6%AC%A7%E6%B4%B2&type=yy
CCTV4中文国际 美洲,https://migu.188766.xyz/?migutoken=899ba80513b58f36ba87123a886c3861&id=CCTV4%E7%BE%8E%E6%B4%B2&type=yy

CCTV1综合,http://106.115.24.56:34567/gptv/G_CCTV-1-HQ.m3u8
