資料由FreeMann彙整，均來自youtube,#genre#
請珍惜使用,https://www.youtube.com/watch?v=ZNxEYgQ945s
基隆,#genre#
碧砂1,https://www.youtube.com/watch?v=VdR7tXWE7vM
碧砂2,https://www.youtube.com/watch?v=De4OYB6ALRo
和平島公園,https://www.youtube.com/watch?v=ZNxEYgQ945s
外木山,https://www.youtube.com/watch?v=LInNQYAbAwQ
外木山提防提岸,https://www.youtube.com/watch?v=Xes0kIbnxJM
潮境海灣-1,https://www.youtube.com/watch?v=jzAxB157yb8
潮境海灣-2,https://www.youtube.com/watch?v=ulc3XNYZ3as




臺北,#genre#
碧山巖,https://www.youtube.com/watch?v=uvwfYzwY8tg
大稻埕碼頭,https://www.youtube.com/watch?v=Ndo_8RuefH4
劍潭山微風平台,https://www.youtube.com/watch?v=34h_Cy_n0Ok
象山看台北,https://www.youtube.com/watch?v=z_fY1pj1VBw
大佳河濱公園,https://www.youtube.com/watch?v=fP4ecxfsJos
貓空指南宮,https://www.youtube.com/watch?v=215ahZ_0rTg
陽明書屋,https://www.youtube.com/watch?v=RttyIGHbN_w
台北市河岸,https://www.youtube.com/watch?v=c-fsELxk5aw




新北,#genre#
烘爐地,https://www.youtube.com/watch?v=xxMRjVwCQ3o
九份,https://www.youtube.com/watch?v=XSD5ptYisw8
九份老街,https://www.youtube.com/watch?v=dhs_KJBpIR8
淡水漁人碼頭,https://www.youtube.com/watch?v=xwAWSh35uuw
淡水渡船頭,https://www.youtube.com/watch?v=rI7cZh2RCRY
三峽老街-1,https://www.youtube.com/watch?v=M24SZJU-uoo
三峽老街-2,https://www.youtube.com/watch?v=R_5jhoux3nY
外澳沙灘,https://www.youtube.com/watch?v=UgoT-QTbYvo
福隆海水浴場,https://www.youtube.com/watch?v=zU8RFoggAeQ
野柳地質公園,https://www.youtube.com/watch?v=psWKqzzvWA4
野柳,https://www.youtube.com/watch?v=KKjp-ToFSbQ
烏來老街與覽勝橋,https://www.youtube.com/watch?v=tx07sS9lCvY
碧潭,https://www.youtube.com/watch?v=ZaPX6G7PV4Y
綠石槽,https://www.youtube.com/watch?v=0Un1eUyp0HQ
中角灣,https://www.youtube.com/watch?v=5FCHZP2GMog
風箏坪,https://www.youtube.com/watch?v=Rjn3plr9fCI
萬里漁港-1,https://www.youtube.com/watch?v=zjjkBCBY6OM
萬里漁港-2,https://www.youtube.com/watch?v=Shp8KdJK9-Y
福隆海灣,https://www.youtube.com/watch?v=mnrUhQJ97zk
龍洞四季灣,https://www.youtube.com/watch?v=9bvkafTbqWs
鼻頭服務區,https://www.youtube.com/watch?v=pxMGB7o8wy8
拉拉山遊客中心,https://www.youtube.com/watch?v=YkIUZjVlhv4




桃園,#genre#
永安漁港-1,https://www.youtube.com/watch?v=tD_a03trUvE
永安漁港-2,https://www.youtube.com/watch?v=HLaMqxW_Xd0
大溪老街,https://www.youtube.com/watch?v=XUWjAsajKXg
小烏來寰宇平台,https://www.youtube.com/watch?v=hcGGNRfPvjM
小烏來天空步道,https://www.youtube.com/watch?v=neaiCec1kec
虎頭山環保公園,https://www.youtube.com/watch?v=tu_gsIkNt-w
虎頭山奧爾森林學堂,https://www.youtube.com/watch?v=yQSmajHyMhU
桃園國際機場-1,https://www.youtube.com/watch?v=68GFgzQxrXs
桃園國際機場-2,https://www.youtube.com/watch?v=91PfFoqvuUk
桃園國際機場-3,https://www.youtube.com/watch?v=y3_x8el5ZJY
桃園國際機場-4,https://www.youtube.com/watch?v=q8Bb4CwpECQ
上巴陵,https://www.youtube.com/watch?v=nV-DKquUjFs
石門水庫,https://www.youtube.com/watch?v=GUCaVR88ZFU
大溪橋,https://www.youtube.com/watch?v=oFJ6gCaBb_Q
角板山梅園,https://www.youtube.com/watch?v=-xT1bZhWLuU
