
142测试,#genre#
1,https://dash.akamaized.net/akamai/bbb_30fps/bbb-manifest-refresh.mpd
CCTV-1HD,p4p://142.54.189.229:2666/64df4e39000298bd058fb75f6f793316.ts
CCTV-2HD,p4p://142.54.189.229:2666/64df4e67000820a105906c772cd32f49.ts
CCTV-3HD,p4p://142.54.189.229:2666/64df4e89000a4ed70590f1d37a573286.ts
CCTV-4HD,p4p://142.54.189.229:2666/646fc99e000dc00f02682ab546856d2d.ts
CCTV-5HD,p4p://142.54.189.229:2666/64df4ebf00068c480591c3d91baf3c83.ts
CCTV-5+HD,p4p://142.54.189.229:2666/64df503c00022ac6059792f804d651bd.ts
CCTV-6HD,p4p://142.54.189.229:2666/64df4ede000dbb8905923ec6442531c0.ts
CCTV-7HD,p4p://142.54.189.229:2666/64df4f0300019c2d0592cc3161373a6c.ts
CCTV-8HD,p4p://142.54.189.229:2666/64df4f1f0005371005933a7b56a10c94.ts
CCTV-9HD,p4p://142.54.189.229:2666/64df4f3f000488480593b74c4f2b43d2.ts
CCTV-10HD,p4p://142.54.189.229:2666/64df4f5e000d9fd9059432b626b91c45.ts
CCTV-11,p4p://142.54.189.229:2666/64df4f7c000e9bd30594a8256b494244.ts
CCTV-12HD,p4p://142.54.189.229:2666/64df4f9a0008ada905951bde12cd5d4e.ts
CCTV-13,p4p://142.54.189.229:2666/64df4fbe000b56780595a92a1ea85f2c.ts
CCTV-14HD,p4p://142.54.189.229:2666/64df4fec000d0dbb05965d475ae335b9.ts
CCTV-15HD,p4p://142.54.189.229:2666/64df50100006a70e0596e8410f7e18c3.ts
广东卫视HD,p4p://142.54.189.229:2666/64df51140004d9ca059adf74103833c9.ts
深圳卫视HD,p4p://142.54.189.229:2666/64df5139000ad969059b7182586e1f65.ts
江苏卫视HD,p4p://142.54.189.229:2666/64df50ba0001a61e05997f0951450b82.ts
浙江卫视HD,p4p://142.54.189.229:2666/64df5090000d4a190598ddf7166a453b.ts
湖南卫视HD,p4p://142.54.189.229:2666/64df50670003ee5905983b6d504e0ab8.ts
北京卫视HD,p4p://142.54.189.229:2666/64df50e700054825059a2fbb5c2266d3.ts
安徽高清HD,p4p://142.54.189.229:2666/64df515e0008bdb3059c017e298b6768.ts
东方卫视,p5p://142.54.189.227:2215/64703b7100076f870424c94717f213ac.ts
CHC家庭影院,p4p://142.54.189.229:2666/64df524500090962059f87e539814f92.ts
CHC动作电影,p4p://142.54.189.229:2666/64df522000028fae059ef5b741fa1d46.ts
CHC高清电影,p4p://142.54.189.229:2666/64df526f0007690e05a02b8862980d8c.ts
无线新闻,p4p://142.54.189.229:2666/64df13d8000a1ec304abae6b03b97a73.ts
无线财经,p4p://142.54.189.229:2666/64df14850006012004ae511a551c5e4a.ts
翡翠台,p4p://142.54.189.229:2666/64df143900021cb404ad274066611259.ts
明珠台,p4p://142.54.189.229:2666/64df14020000dd2d04ac501a15c52a06.ts
J2,p4p://142.54.189.229:2666/64df145e0003949404adb826220f65c7.ts
凤凰资讯,p4p://142.54.189.229:2666/64df4dbc000cf286058dd1b77e200c8c.ts
中天新闻,p4p://142.54.189.229:2666/64de52a70006e20d01b906297b7d0f95.ts
TVBS新闻,p4p://142.54.189.229:2666/64df0c5d000a530d048e75f37b155008.ts
东森新闻,p4p://142.54.189.229:2666/64df0db3000d67790493aeaf65c56300.ts
三立新闻,p4p://142.54.189.229:2666/64df114a00089e6504a1b34e5ec80344.ts
年代新闻,p4p://142.54.189.229:2666/64df11830008ea4904a2921502394fe8.ts
华视新闻资讯,p4p://142.54.189.229:2666/64df425800075d5a056151b0773f199c.ts
台视,p4p://142.54.189.229:2666/64df1280000382f804a66cf66f723cd5.ts
台视新闻,p4p://142.54.189.229:2666/64df421e00024c6a05606dd80e88417d.ts
非凡商业,p4p://142.54.189.229:2666/64df45be00022c98056e96c83cf40f33.ts
纬来综合,p4p://142.54.189.229:2666/64df43e300075980056758a83a2b540c.ts
纬来日本,p4p://142.54.189.229:2666/64df443f00095d370568c085157977f8.ts
