測試5,#genre#
驚艷,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/85.ts
潘朵拉完美,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/86.ts
香蕉 http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/87.ts
松視1台,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/88.ts
松視2台,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/89.ts
松視3台,http://15.204.105.50:25461/live-G2s9zK2n9m/ezvrFwxGfA/90.ts


花園频道,#genre#
松视1,http://live.urren.net:80/live/4053a1b0ceed876d88955c73a9386e48.flv
松视2,http://live.urren.net/live/7c9744616f041fe68d268a98e6e8143e.flv
松视3,http://live.urren.net:80/live/af2e6c1c23e014be912891d60bf208a7.flv
E频道,http://live.urren.net:80/live/6b8e2ef39b06ea18a6294daeb383bba6.flv
K频道,http://live.urren.net:80/live/933e72c8671daa657f86f9ac2240c2e8.flv
潘朵拉,http://live.urren.net:80/live/0f664a1806c06dbf0e16b9b408a08989.flv
彩虹电影,http://live.urren.net:80/live/2e51fe8c9315b3f6f1b275a6d4b1822b.flv
极限,http://live.urren.net:80/live/74d71f9d8e148b700112fd739a68be71.flv
happy,http://live.urren.net:80/live/33fbf1d4659b86a8df822864fb499cef.flv
香蕉,http://live.urren.net:80/live/4401ab661f2c43ee1b6d8aeea7a66816.flv
惊艳,http://live.urren.net:80/live/9dfac089963b27870d7aa225450aedec.flv

國外频道,#genre#
 AAA,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58055
 PUBLICAGENT,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58056
 MOFOS,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58057
 LA PIZZA ORGIA,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58058
 LA PIZZA ORGIA 2,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58059
 PEGGING,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58060
 AssTRAFIC,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58064
 PETITE NUBILES 1,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58065
 PETITE NUBILE 2,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58066
 PETITE NUBILES 3,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58067
 PETITE NUBILES 4,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58068
 PUBLIC BANG 1,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58069
 PUBLIC BANG 2,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58070
 MAX HARDCORE 1,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58071
 MAX HARDCORE 2,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58072
 MAX HARDCORE 3,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58073
 MAX HARDCORE 5,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58075
 ADULT 8,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58076
 Czech Hotties 2,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58079
 Czech Hotties 3,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58080
 Mature NL,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58081

 OpenTV Best Porn Collection Pack 1,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/71246
 Danielle Lanza Thedandangler XXX Pack,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/74505
 OpenTV ELLA KNOX Pack 1,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/75886

