央视频,#genre#
CCTV1,http://150.138.92.209:1107/ysp?cnlid=2024078201&livepid=600001859&defn=fhd
CCTV2,http://150.138.92.209:1107/ysp?cnlid=2024075401&livepid=600001800&defn=fhd
CCTV3,http://150.138.92.209:1107/ysp?cnlid=2024068501&livepid=600001801&defn=fhd
CCTV4,http://150.138.92.209:1107/ysp?cnlid=2024078301&livepid=600001814&defn=fhd
CCTV5,http://150.138.92.209:1107/ysp?cnlid=2024078401&livepid=600001818&defn=fhd
CCTV5+,http://150.138.92.209:1107/ysp?cnlid=2024078001&livepid=600001817&defn=fhd
CCTV6,http://150.138.92.209:1107/ysp?cnlid=2013693901&livepid=600108442&defn=fhd
CCTV7,http://150.138.92.209:1107/ysp?cnlid=2024072001&livepid=600004092&defn=fhd
CCTV8,http://150.138.92.209:1107/ysp?cnlid=2024078501&livepid=600001803&defn=fhd
CCTV9,http://150.138.92.209:1107/ysp?cnlid=2024078601&livepid=600004078&defn=fhd
CCTV10,http://150.138.92.209:1107/ysp?cnlid=2024078701&livepid=600001805&defn=fhd
CCTV11,http://150.138.92.209:1107/ysp?cnlid=2027248701&livepid=600001806&defn=fhd
CCTV12,http://150.138.92.209:1107/ysp?cnlid=2027248801&livepid=600001807&defn=fhd
CCTV13,http://150.138.92.209:1107/ysp?cnlid=2024079001&livepid=600001811&defn=fhd
CCTV14,http://150.138.92.209:1107/ysp?cnlid=2027248901&livepid=600001809&defn=fhd
CCTV15,http://150.138.92.209:1107/ysp?cnlid=2027249001&livepid=600001815&defn=fhd
CCTV16,http://150.138.92.209:1107/ysp?cnlid=2027249101&livepid=600098637&defn=fhd
CCTV16(4K),http://150.138.92.209:1107/ysp?cnlid=2027249301&livepid=600099502&defn=hdr
CCTV17,http://150.138.92.209:1107/ysp?cnlid=2027249401&livepid=600001810&defn=fhd
CCTV4K,http://150.138.92.209:1107/ysp?cnlid=2027249501&livepid=600002264&defn=hdr
CCTV8K,http://150.138.92.209:1107/ysp?cnlid=2026774101&livepid=600156816&defn=hdr
CGTN,http://150.138.92.209:1107/ysp?cnlid=2024181701&livepid=600014550&defn=fhd
CGTN法语频道,http://150.138.92.209:1107/ysp?cnlid=2024181801&livepid=600084704&defn=fhd
CGTN俄语频道,http://150.138.92.209:1107/ysp?cnlid=2024181901&livepid=600084758&defn=fhd
CGTN阿拉伯语频道,http://150.138.92.209:1107/ysp?cnlid=2024182001&livepid=600084782&defn=fhd
CGTN西班牙语频道,http://150.138.92.209:1107/ysp?cnlid=2024182101&livepid=600084744&defn=fhd
CGTN外语纪录频道,http://150.138.92.209:1107/ysp?cnlid=2024182301&livepid=600084781&defn=fhd
CCTV第一剧场频道,http://150.138.92.209:1107/ysp?cnlid=2026874203&livepid=600099655&defn=fhd
CCTV风云剧场频道,http://150.138.92.209:1107/ysp?cnlid=2025637103&livepid=600099658&defn=fhd
CCTV怀旧剧场频道,http://150.138.92.209:1107/ysp?cnlid=2026874303&livepid=600099620&defn=fhd
北京卫视,http://150.138.92.209:1107/ysp?cnlid=2024052703&livepid=600002309&defn=fhd
东方卫视,http://150.138.92.209:1107/ysp?cnlid=2024054503&livepid=600002483&defn=fhd
江苏卫视,http://150.138.92.209:1107/ysp?cnlid=2024171103&livepid=600002521&defn=fhd
浙江卫视,http://150.138.92.209:1107/ysp?cnlid=2024054703&livepid=600002520&defn=fhd
湖南卫视,http://150.138.92.209:1107/ysp?cnlid=2024054803&livepid=600002475&defn=fhd
湖北卫视,http://150.138.92.209:1107/ysp?cnlid=2024171203&livepid=600002508&defn=fhd
广东卫视,http://150.138.92.209:1107/ysp?cnlid=2024060903&livepid=600002485&defn=fhd
广西卫视,http://150.138.92.209:1107/ysp?cnlid=2024060703&livepid=600002509&defn=fhd
黑龙江卫视,http://150.138.92.209:1107/ysp?cnlid=2024061003&livepid=600002498&defn=fhd
海南卫视,http://150.138.92.209:1107/ysp?cnlid=2024055603&livepid=600002506&defn=fhd
重庆卫视,http://150.138.92.209:1107/ysp?cnlid=2024061103&livepid=600002531&defn=fhd
中国教育电视台1频道,http://150.138.92.209:1107/ysp?cnlid=2022823801&livepid=600171827&defn=fhd
深圳卫视,http://150.138.92.209:1107/ysp?cnlid=2024061303&livepid=600002481&defn=fhd
四川卫视,http://150.138.92.209:1107/ysp?cnlid=2024061403&livepid=600002516&defn=fhd
河南卫视,http://150.138.92.209:1107/ysp?cnlid=2024059703&livepid=600002525&defn=fhd
福建东南卫视,http://150.138.92.209:1107/ysp?cnlid=2024061503&livepid=600002484&defn=fhd
贵州卫视,http://150.138.92.209:1107/ysp?cnlid=2024061603&livepid=600002490&defn=fhd
江西卫视,http://150.138.92.209:1107/ysp?cnlid=2024061703&livepid=600002503&defn=fhd
辽宁卫视,http://150.138.92.209:1107/ysp?cnlid=2024171303&livepid=600002505&defn=fhd
安徽卫视,http://150.138.92.209:1107/ysp?cnlid=2024171403&livepid=600002532&defn=fhd
河北卫视,http://150.138.92.209:1107/ysp?cnlid=2024171503&livepid=600002493&defn=fhd
山东卫视,http://150.138.92.209:1107/ysp?cnlid=2024171603&livepid=600002513&defn=fhd
天津卫视,http://150.138.92.209:1107/ysp?cnlid=2019927003&livepid=600152137&defn=fhd
陕西卫视,http://150.138.92.209:1107/ysp?cnlid=2025561103&livepid=600190400&defn=fhd
内蒙古卫视,http://150.138.92.209:1107/ysp?cnlid=2025561203&livepid=600190401&defn=fhd
甘肃卫视,http://150.138.92.209:1107/ysp?cnlid=2025561703&livepid=600190408&defn=fhd
宁夏卫视,http://150.138.92.209:1107/ysp?cnlid=2025608503&livepid=600190737&defn=fhd
山西卫视,http://150.138.92.209:1107/ysp?cnlid=2025560803&livepid=600190407&defn=fhd
云南卫视,http://150.138.92.209:1107/ysp?cnlid=2025561303&livepid=600190402&defn=fhd
吉林卫视,http://150.138.92.209:1107/ysp?cnlid=2025561503&livepid=600190405&defn=fhd
青海卫视,http://150.138.92.209:1107/ysp?cnlid=2025559103&livepid=600190406&defn=fhd
西藏卫视,http://150.138.92.209:1107/ysp?cnlid=2025558003&livepid=600190403&defn=fhd
新疆卫视,http://150.138.92.209:1107/ysp?cnlid=2019927403&livepid=600152138&defn=fhd
兵团卫视,http://150.138.92.209:1107/ysp?cnlid=2025990501&livepid=600193252&defn=fhd
国学频道,http://150.138.92.209:1107/ysp?cnlid=2029360403&livepid=600213139&defn=fhd


咪咕(限影视）,#genre#
CCTV1综合,http://150.138.92.209:2026/migu1080.php?id=608807420
CCTV2财经,http://150.138.92.209:2026/migu1080.php?id=631780532
CCTV3综艺,http://150.138.92.209:2026/migu1080.php?id=624878271
CCTV4中文国际,http://150.138.92.209:2026/migu1080.php?id=631780421
CCTV5体育,http://150.138.92.209:2026/migu1080.php?id=641886683
CCTV5+体育赛事,http://150.138.92.209:2026/migu1080.php?id=641886773
CCTV6电影,http://150.138.92.209:2026/migu1080.php?id=624878396
CCTV7国防军事,http://150.138.92.209:2026/migu1080.php?id=673168121
CCTV8电视剧,http://150.138.92.209:2026/migu1080.php?id=624878356
CCTV9纪录,http://150.138.92.209:2026/migu1080.php?id=673168140
CCTV10科教,http://150.138.92.209:2026/migu1080.php?id=624878405
CCTV11戏曲,http://150.138.92.209:2026/migu1080.php?id=667987558
CCTV12社会与法,http://150.138.92.209:2026/migu1080.php?id=673168185
CCTV13新闻,http://150.138.92.209:2026/migu1080.php?id=608807423
CCTV14少儿,http://150.138.92.209:2026/migu1080.php?id=624878440
CCTV15音乐,http://150.138.92.209:2026/migu1080.php?id=673168223
CCTV17农业农村,http://150.138.92.209:2026/migu1080.php?id=673168256
CCTV4欧洲,http://150.138.92.209:2026/migu1080.php?id=608807419
CCTV4美洲,http://150.138.92.209:2026/migu1080.php?id=608807416
CGTN外语纪录,http://150.138.92.209:2026/migu1080.php?id=609006487
