台湾,#genre#
寰宇新闻台,https://www.youtube.com/watch?v=w87VGpgd90U
镜电视新闻 HD,https://www.youtube.com/watch?v=5n0y6b0Q25o
华视新闻 HD,https://www.youtube.com/watch?v=wM0g8EoUZ_E
爱尔达综合 HD,http://fv2la.netboxtv.top/live/fadh3ct5/q35stj9m/index.m3u8
CNN,http://fv2la.netboxtv.top/live/kwzq1rse/7w0tv28m/index.m3u8
民视,http://fv2la.netboxtv.top/live/t6u5b1q4/7c4f853f/index.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/manifest.m3u8
台视 HD,http://fv2la.netboxtv.top/live/kwzq1rse/c05pm3s2/index.m3u8
大爱一台,http://fv2la.netboxtv.top/live/kwzq1rse/tcs89msv/index.m3u8
中视 HD, http://fv2la.netboxtv.top/live/kwzq1rse/0fjz7px1/index.m3u8
霹雳台湾台,http://fv2la.netboxtv.top/live/kwzq1rse/d1ffefce/index.m3u8
华视 HD,http://fv2la.netboxtv.top/live/kwzq1rse/hmrmw2mj/index.m3u8
公视 HD,http://fv2la.netboxtv.top/live/kwzq1rse/j44fm83f/index.m3u8
公视台语台,http://fv2la.netboxtv.top/live/kwzq1rse/8x1bt2hg/index.m3u8
好消息卫星电视台,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
原住民族电视台,http://fv2la.netboxtv.top/live/kwzq1rse/ddzd126a/index.m3u8
客家电视,http://fv2la.netboxtv.top/live/8c33fa9b/asdx02tr/index.m3u8
DMAX,http://fv2la.netboxtv.top/live/kwzq1rse/nvhgfr5c/index.m3u8
Discovery,http://fv2la.netboxtv.top/live/kwzq1rse/fvptsnk3/index.m3u8
动物星球频道,http://fv2la.netboxtv.top/live/kwzq1rse/13t5w6zc/index.m3u8
TLC旅游生活频道,http://fv2la.netboxtv.top/live/kwzq1rse/059c6cgh/index.m3u8
CN 卡通,http://fv2la.netboxtv.top/live/kwzq1rse/0jqsx5tg/index.m3u8
Nickelodeon,http://fv2la.netboxtv.top/live/kwzq1rse/tnv75740/index.m3u8
MOMO亲子台,http://fv2la.netboxtv.top/live/kwzq1rse/877sd556/index.m3u8
东森幼幼,http://fv2la.netboxtv.top/live/fchcah3u/31t5z7bp/index.m3u8
纬来综合,http://fv2la.netboxtv.top/live/kwzq1rse/3qct536g/index.m3u8
八大第一台,http://fv2la.netboxtv.top/live/a9a5de21/jz8wfhfv/index.m3u8
八大综合,http://fv2la.netboxtv.top/live/a9a5de21/nh14pm05/index.m3u8
三立台湾,http://fv2la.netboxtv.top/live/t6u5b1q4/66e1dd5c/index.m3u8
三立都会,http://fv2la.netboxtv.top/live/t6u5b1q4/04bd1e96/index.m3u8
华艺综合,http://fv2la.netboxtv.top/live/kwzq1rse/a121q1cc/index.m3u8
东森综合,http://fv2la.netboxtv.top/live/kwzq1rse/chn4krg1/index.m3u8
东森超视,http://fv2la.netboxtv.top/live/fadh3ct5/996eaed4/index.m3u8
momo购物壹台,https://www.youtube.com/watch?v=_pZQ1Lk0xMA
momo购物贰台,https://www.youtube.com/watch?v=xbNWkUyxQGM
中天综合 HD,http://fv2la.netboxtv.top/live/a9a5de21/975ffqpt/index.m3u8
东风卫视,http://fv2la.netboxtv.top/live/kwzq1rse/6b13bb2f/index.m3u8
年代MUCH,http://fv2la.netboxtv.top/live/kwzq1rse/e1e0abbd/index.m3u8
中天娱乐,http://fv2la.netboxtv.top/live/kwzq1rse/pg9ccptv/index.m3u8
