綜合其他,#genre#
Arirang TV,http://live1.robyang.dpdns.org:50003/4gtv-4gtv079/index.m3u8
Arirang TV,http://live1.robyang.dpdns.org:50003/li-4gtv-4gtv079/index.m3u8
Arirang TV,http://live1.robyang.dpdns.org:50010/4gtv-4gtv079/index.m3u8
Arirang TV,http://live1.robyang.dpdns.org:50010/li-4gtv-4gtv079/index.m3u8
Arirang TV,http://live1.robyang.ggff.net:50008/4gtv-4gtv079/index.m3u8
Arirang TV,http://live1.robyang.ggff.net:50008/li-4gtv-4gtv079/index.m3u8
TVBS HD,http://live1.robyang.dpdns.org:50003/4gtv-4gtv073/index.m3u8
TVBS HD,http://live1.robyang.dpdns.org:50003/li-4gtv-4gtv073/index.m3u8
TVBS HD,http://live1.robyang.dpdns.org:50010/4gtv-4gtv073/index.m3u8
TVBS HD,http://live1.robyang.dpdns.org:50010/li-4gtv-4gtv073/index.m3u8
TVBS HD,http://live1.robyang.ggff.net:50008/4gtv-4gtv073/index.m3u8
TVBS HD,http://live1.robyang.ggff.net:50008/li-4gtv-4gtv073/index.m3u8
三立綜合台,http://live1.robyang.dpdns.org:50003/4gtv-live207/index.m3u8
三立綜合合,http://live1.robyang.dpdns.org:50010/4gtv-live207/index.m3u8
三立綜合合,http://live1.robyang.ggff.net:50008/4gtv-live207/index.m3u8
中天亞洲台,http://live1.robyang.dpdns.org:50003/4gtv-4gtv109/index.m3u8
中天亞洲台,http://live1.robyang.dpdns.org:50010/4gtv-4gtv109/index.m3u8
中天亞洲台,http://live1.robyang.ggff.net:50008/4gtv-4gtv109/index.m3u8
中視,http://live1.robyang.dpdns.org:50003/4gtv-4gtv040/index.m3u8
中視,http://live1.robyang.dpdns.org:50003/li-4gtv-4gtv040/index.m3u8
中視,http://live1.robyang.dpdns.org:50003/of-4gtv-4gtv040/index.m3u8
中視,http://live1.robyang.dpdns.org:50010/4gtv-4gtv040/index.m3u8
中視,http://live1.robyang.dpdns.org:50010/li-4gtv-4gtv040/index.m3u8
中視,http://live1.robyang.dpdns.org:50010/of-4gtv-4gtv040/index.m3u8
中視,http://live1.robyang.ggff.net:50008/4gtv-4gtv040/index.m3u8
中視,http://live1.robyang.ggff.net:50008/li-4gtv-4gtv040/index.m3u8
中視,http://live1.robyang.ggff.net:50008/of-4gtv-4gtv040/index.m3u8
中視菁采台,http://live1.robyang.dpdns.org:50003/4gtv-4gtv064/index.m3u8
中視菁采台,http://live1.robyang.dpdns.org:50003/li-4gtv-4gtv064/index.m3u8
中視菁采台,http://live1.robyang.dpdns.org:50010/4gtv-4gtv064/index.m3u8
中視菁采台,http://live1.robyang.dpdns.org:50010/li-4gtv-4gtv064/index.m3u8
中視菁采台,http://live1.robyang.ggff.net:50008/4gtv-4gtv064/index.m3u8
中視菁采台,http://live1.robyang.ggff.net:50008/li-4gtv-4gtv064/index.m3u8
人間衛視,http://live1.robyang.dpdns.org:50003/4gtv-live008/index.m3u8
人間衛視,http://live1.robyang.dpdns.org:50010/4gtv-live008/index.m3u8
人間衛視,http://live1.robyang.ggff.net:50008/4gtv-live008/index.m3u8
原住民族電視台,http://live1.robyang.dpdns.org:50003/4gtv-live014/index.m3u8
原住民族電視台,http://live1.robyang.dpdns.org:50010/4gtv-live014/index.m3u8
原住民族電視台,http://live1.robyang.ggff.net:50008/4gtv-live014/index.m3u8
台視HD,http://live1.robyang.dpdns.org:50003/4gtv-4gtv066/index.m3u8
台視HD,http://live1.robyang.dpdns.org:50003/li-4gtv-4gtv066/index.m3u8
台視HD,http://live1.robyang.dpdns.org:50010/4gtv-4gtv066/index.m3u8
台視HD,http://live1.robyang.dpdns.org:50010/li-4gtv-4gtv066/index.m3u8
台視HD,http://live1.robyang.ggff.net:50008/4gtv-4gtv066/index.m3u8
台視HD,http://live1.robyang.ggff.net:50008/li-4gtv-4gtv066/index.m3u8
國會1,http://live1.robyang.dpdns.org:50003/li-4gtv-4gtv084/index.m3u8
國會1,http://live1.robyang.dpdns.org:50010/4gtv-4gtv084/index.m3u8
國會1,http://live1.robyang.dpdns.org:50010/li-4gtv-4gtv084/index.m3u8
國會1,http://live1.robyang.dpdns.org:50010/of-4gtv-4gtv084/index.m3u8
國會1,http://live1.robyang.ggff.net:50008/4gtv-4gtv084/index.m3u8
國會1,http://live1.robyang.ggff.net:50008/li-4gtv-4gtv084/index.m3u8
國會1,http://live1.robyang.ggff.net:50008/of-4gtv-4gtv084/index.m3u8
國會1台,http://live1.robyang.dpdns.org:50003/4gtv-4gtv084/index.m3u8
國會1台,http://live1.robyang.dpdns.org:50003/of-4gtv-4gtv084/index.m3u8
國會2,http://live1.robyang.dpdns.org:50003/li-4gtv-4gtv085/index.m3u8
國會2,http://live1.robyang.dpdns.org:50010/4gtv-4gtv085/index.m3u8
國會2,http://live1.robyang.dpdns.org:50010/li-4gtv-4gtv085/index.m3u8
國會2,http://live1.robyang.dpdns.org:50010/of-4gtv-4gtv085/index.m3u8
國會2,http://live1.robyang.ggff.net:50008/4gtv-4gtv085/index.m3u8
國會2,http://live1.robyang.ggff.net:50008/li-4gtv-4gtv085/index.m3u8
國會2,http://live1.robyang.ggff.net:50008/of-4gtv-4gtv085/index.m3u8
國會2台,http://live1.robyang.dpdns.org:50003/4gtv-4gtv085/index.m3u8
國會2台,http://live1.robyang.dpdns.org:50003/of-4gtv-4gtv085/index.m3u8
大愛二台,http://live1.robyang.dpdns.org:50003/4gtv-live106/index.m3u8
大愛二台,http://live1.robyang.dpdns.org:50010/4gtv-live106/index.m3u8
大愛二台,http://live1.robyang.ggff.net:50008/4gtv-live106/index.m3u8
大愛電視,http://live1.robyang.dpdns.org:50003/4gtv-live007/index.m3u8
大愛電視,http://live1.robyang.dpdns.org:50010/4gtv-live007/index.m3u8
大愛電視,http://live1.robyang.ggff.net:50008/4gtv-live007/index.m3u8
好消息,http://live1.robyang.dpdns.org:50003/li-litv-ftv16/index.m3u8
好消息,http://live1.robyang.dpdns.org:50003/litv-ftv16/index.m3u8
好消息,http://live1.robyang.dpdns.org:50003/of-litv-ftv16/index.m3u8
好消息,http://live1.robyang.dpdns.org:50010/li-litv-ftv16/index.m3u8
好消息,http://live1.robyang.dpdns.org:50010/litv-ftv16/index.m3u8
好消息,http://live1.robyang.dpdns.org:50010/of-litv-ftv16/index.m3u8
好消息,http://live1.robyang.ggff.net:50008/li-litv-ftv16/index.m3u8
好消息,http://live1.robyang.ggff.net:50008/litv-ftv16/index.m3u8
好消息,http://live1.robyang.ggff.net:50008/of-litv-ftv16/index.m3u8
好消息2台,http://live1.robyang.dpdns.org:50003/li-litv-ftv17/index.m3u8
好消息2台,http://live1.robyang.dpdns.org:50003/litv-ftv17/index.m3u8
好消息2台,http://live1.robyang.dpdns.org:50003/of-litv-ftv17/index.m3u8
好消息2台,http://live1.robyang.dpdns.org:50010/li-litv-ftv17/index.m3u8
好消息2台,http://live1.robyang.dpdns.org:50010/litv-ftv17/index.m3u8
好消息2台,http://live1.robyang.dpdns.org:50010/of-litv-ftv17/index.m3u8
好消息2台,http://live1.robyang.ggff.net:50008/li-litv-ftv17/index.m3u8
好消息2台,http://live1.robyang.ggff.net:50008/litv-ftv17/index.m3u8
好消息2台,http://live1.robyang.ggff.net:50008/of-litv-ftv17/index.m3u8
客家電視,http://live1.robyang.dpdns.org:50003/4gtv-4gtv043/index.m3u8
客家電視,http://live1.robyang.dpdns.org:50003/li-4gtv-4gtv043/index.m3u8
客家電視,http://live1.robyang.dpdns.org:50010/4gtv-4gtv043/index.m3u8
