台灣,#genre#
台湾|TVBS News 新闻台,http://tw.huohuoaa.tech/22.php?id=tvbs_n
台湾|TVBS 欢乐台 （备份）,http://tw.huohuoaa.tech/22.php?id=tvbshuanle_twn
台湾|TVBS HD,http://tw.huohuoaa.tech/22.php?id=tvbs
台湾|中天新闻 HD,http://tw.huohuoaa.tech/22.php?id=ctinews
台湾|中天娱乐 CTI Entertaiment,http://tw.huohuoaa.tech/22.php?id=ctient
台湾|中天综合 CTI Metro,http://tw.huohuoaa.tech/22.php?id=ctizhonghe
台湾|中天亚洲台,http://tw.huohuoaa.tech/22.php?id=ctiasia_twn
台湾|台视 TTV HD,http://tw.huohuoaa.tech/22.php?id=ttv_taiwan
台湾|台视新闻台,http://tw.huohuoaa.tech/22.php?id=ttvnews_twn
台湾|台视综合台,http://tw.huohuoaa.tech/22.php?id=ttvzhonghe
台湾|中视 HD,http://tw.huohuoaa.tech/22.php?id=zhongshihd_twn
台湾|中视新闻台,http://tw.huohuoaa.tech/22.php?id=zhongshinews_twn
台湾|民视 HD,http://tw.huohuoaa.tech/22.php?id=ftvhd_taiwan
台湾|民视新闻台 FTV News,http://tw.huohuoaa.tech/22.php?id=ftvnew_taiwan
台湾|民视台湾台,http://tw.huohuoaa.tech/22.php?id=ftvtaiwan_twn
台湾|华视 CTS HD,http://tw.huohuoaa.tech/22.php?id=ctshd_twn
台湾|公视 CTV,http://tw.huohuoaa.tech/22.php?id=ctv18_twn
台湾|八大第一 GTV First,http://tw.huohuoaa.tech/22.php?id=badafirst
台湾|八大综合 GTV Metro,http://tw.huohuoaa.tech/22.php?id=badazhonghe
台湾|八大戏剧 GTV Drama,http://tw.huohuoaa.tech/22.php?id=badadrama
台湾|八大娱乐 GTV Entertainment,http://tw.huohuoaa.tech/22.php?id=badaentertain
台湾|HBO_HD,http://tw.huohuoaa.tech/22.php?id=hbohd_twn
台湾|HBO_HITS,http://tw.huohuoaa.tech/22.php?id=hbohit_twn
台湾|Hollywood Movies,http://tw.huohuoaa.tech/22.php?id=hollywoodmovies_twn
台湾|三立台湾 Sanli Taiwan,http://tw.huohuoaa.tech/22.php?id=sanlitaiwan
台湾|三立戏剧台,http://tw.huohuoaa.tech/22.php?id=sanlixiju_twn
台湾|三立综合 Sanli Metro,http://tw.huohuoaa.tech/22.php?id=sanlizhonghe
台湾|三立都会台,http://tw.huohuoaa.tech/22.php?id=sanlidouhui
台湾|东森新闻 ETTV News,http://tw.huohuoaa.tech/22.php?id=ettvnews
台湾|CINEMAX,http://tw.huohuoaa.tech/22.php?id=cinemax_twn
台湾|东森综合 ETTV Metro,http://tw.huohuoaa.tech/22.php?id=ettvzhonghe
台湾|东森戏剧 ETTV Drama,http://tw.huohuoaa.tech/22.php?id=ettvdrama
台湾|东森超视,http://tw.huohuoaa.tech/22.php?id=ettvsuper
台湾|东森财经新闻 ETTV Business,http://tw.huohuoaa.tech/22.php?id=ettvcaijing_twn
台湾|寰宇财经,http://tw.huohuoaa.tech/22.php?id=huanyutaiwan_twn
台湾|寰宇新闻台,http://tw.huohuoaa.tech/22.php?id=huanyuxinwen_twn
台湾|公视2,http://tw.huohuoaa.tech/22.php?id=ctv2_twn
台湾|大爱1台,http://tw.huohuoaa.tech/22.php?id=daai_twn
台湾|非凡新闻台,http://tw.huohuoaa.tech/22.php?id=feifannews_twn
台湾|龙华戏剧 Lunghua Drama,http://tw.huohuoaa.tech/22.php?id=lunghuaxiju_twn
台湾|龙华经典台,http://tw.huohuoaa.tech/22.php?id=lunghuajingdian_twn
台湾|龙华偶像,http://tw.huohuoaa.tech/22.php?id=lunghuaidol_twn
台湾|AXN Taiwan,http://tw.huohuoaa.tech/22.php?id=axn_twn
台湾|靖天国际台,http://tw.huohuoaa.tech/22.php?id=jingtianintl_twn
台湾|年代新闻,http://tw.huohuoaa.tech/22.php?id=niandainews_twn
台湾|纬来日本台,http://tw.huohuoaa.tech/22.php?id=videolandjapan
台湾|纬来电影台,http://tw.huohuoaa.tech/22.php?id=videolandmovie
台湾|纬来体育台,http://tw.huohuoaa.tech/22.php?id=videolandsport
台湾|纬来综合台,http://tw.huohuoaa.tech/22.php?id=videolandzonghe
台湾|纬来育乐,http://tw.huohuoaa.tech/22.php?id=videolandyule
台湾|纬来精彩,http://tw.huohuoaa.tech/22.php?id=videolandspecial_twn
