綜合频道-,#genre#
动物星球,http://iptv.4666888.xyz/iptv2.php?id=145
BBC_Earth,http://iptv.4666888.xyz/iptv2.php?id=122
中视经典,http://iptv.4666888.xyz/iptv2.php?id=103
民视影剧,http://iptv.4666888.xyz/iptv2.php?id=110
民视旅游,http://iptv.4666888.xyz/iptv2.php?id=111
民视综艺,http://iptv.4666888.xyz/iptv2.php?id=112
台视综合,http://iptv.4666888.xyz/iptv2.php?id=114
华艺中文,http://iptv.4666888.xyz/iptv2.php?id=156
东森超视34.5,http://iptv.4666888.xyz/iptv2.php?id=125
东森超视,http://iptv.4666888.xyz/iptv2.php?id=128
东森电影,http://iptv.4666888.xyz/iptv2.php?id=15
东森洋片,http://iptv.4666888.xyz/iptv2.php?id=16
东森戏剧,http://iptv.4666888.xyz/iptv2.php?id=1
八八第一,http://iptv.4666888.xyz/iptv2.php?id=143
八大精彩,http://iptv.4666888.xyz/iptv2.php?id=144
TVBS精彩,http://iptv.4666888.xyz/iptv2.php?id=146
TVBS欢乐,http://iptv.4666888.xyz/iptv2.php?id=147
三立都会,http://iptv.4666888.xyz/iptv2.php?id=137
三立综合,http://iptv.4666888.xyz/iptv2.php?id=138
EYETV旅游,http://iptv.4666888.xyz/iptv2.php?id=160
爱尔达综合,http://iptv.4666888.xyz/iptv2.php?id=164
爱尔达娱乐,http://iptv.4666888.xyz/iptv2.php?id=165
爱尔达生活旅游,http://iptv.4666888.xyz/iptv2.php?id=166
靖天卡通,http://iptv.4666888.xyz/iptv2.php?id=150
靖洋卡通,http://iptv.4666888.xyz/iptv2.php?id=151
靖天育乐,http://iptv.4666888.xyz/iptv2.php?id=153
靖天映画,http://iptv.4666888.xyz/iptv2.php?id=154
靖天欢乐,http://iptv.4666888.xyz/iptv2.php?id=155
HakkATV客家,http://iptv.4666888.xyz/iptv2.php?id=169
TITV原住民,http://iptv.4666888.xyz/iptv2.php?id=170
MTV live,http://iptv.4666888.xyz/iptv2.php?id=171
猪哥亮哥厅秀,http://iptv.4666888.xyz/iptv2.php?id=173
momo亲子,http://iptv.4666888.xyz/iptv2.php?id=129
Nickeledeon,http://iptv.4666888.xyz/iptv2.php?id=2
MytvNickJr,http://iptv.4666888.xyz/iptv2.php?id=3
ifunanime,http://iptv.4666888.xyz/iptv2.php?id=4
DreamWorks,http://iptv.4666888.xyz/iptv2.php?id=184
探索频道,http://iptv.4666888.xyz/iptv2.php?id=185
LUXE TV,http://iptv.4666888.xyz/iptv2.php?id=157
体育频道-,#genre#
智林体育,http://iptv.4666888.xyz/iptv2.php?id=58
GINXEsportsTV,http://iptv.4666888.xyz/iptv2.php?id=49
爱尔达体育1,http://iptv.4666888.xyz/iptv2.php?id=45
爱尔达体育2,http://iptv.4666888.xyz/iptv2.php?id=46
爱尔达体育3,http://iptv.4666888.xyz/iptv2.php?id=47
爱尔达体育4,http://iptv.4666888.xyz/iptv2.php?id=48
搏斯运动1,http://iptv.4666888.xyz/iptv2.php?id=50
搏斯运动2,http://iptv.4666888.xyz/iptv2.php?id=51
搏斯高球1,http://iptv.4666888.xyz/iptv2.php?id=52
搏斯高球2,http://iptv.4666888.xyz/iptv2.php?id=53
搏斯网球,http://iptv.4666888.xyz/iptv2.php?id=54
搏斯无限,http://iptv.4666888.xyz/iptv2.php?id=55
TRACESportStars,,http://iptv.4666888.xyz/iptv2.php?id=59
影视频道-,#genre#
天映经典,http://iptv.4666888.xyz/iptv2.php?id=77
天映经典,http://iptv.4666888.xyz/iptv2.php?id=78
PopC,http://iptv.4666888.xyz/iptv2.php?id=5
美亚电影国,http://iptv.4666888.xyz/iptv2.php?id=11
美亚电影粤,http://iptv.4666888.xyz/iptv2.php?id=12
中国电影,http://iptv.4666888.xyz/iptv2.php?id=13
重温经典,http://iptv.4666888.xyz/iptv2.php?id=123
HBO Hits,http://iptv.4666888.xyz/iptv2.php?id=117
Star_Movies,http://iptv.4666888.xyz/iptv2.php?id=109
ROCK Action,http://iptv.4666888.xyz/iptv2.php?id=141
HBO Signature,http://iptv.4666888.xyz/iptv2.php?id=126
采昌影剧,http://iptv.4666888.xyz/iptv2.php?id=168
公视戏剧,http://iptv.4666888.xyz/iptv2.php?id=106
壹电影,http://iptv.4666888.xyz/iptv2.php?id=120
龙华日韩,http://iptv.4666888.xyz/iptv2.php?id=131
龙华电影,http://iptv.4666888.xyz/iptv2.php?id=132
龙华戏剧,http://iptv.4666888.xyz/iptv2.php?id=133
龙华卡通,http://iptv.4666888.xyz/iptv2.php?id=135
龙华经典,http://iptv.4666888.xyz/iptv2.php?id=136
台湾戏剧,http://iptv.4666888.xyz/iptv2.php?id=116
台湾霹雳,http://iptv.4666888.xyz/iptv2.php?id=118
东森电影,http://iptv.4666888.xyz/iptv2.php?id=15
东森洋片,http://iptv.4666888.xyz/iptv2.php?id=16
台湾戏剧,http://iptv.4666888.xyz/iptv2.php?id=116
TVN,http://iptv.4666888.xyz/iptv2.php?id=17
KIX,http://iptv.4666888.xyz/iptv2.php?id=18
RockAction,http://iptv.4666888.xyz/iptv2.php?id=19
RockEntertainment,http://iptv.4666888.xyz/iptv2.php?id=20
AXN,http://iptv.4666888.xyz/iptv2.php?id=21
AnimaxC,http://iptv.4666888.xyz/iptv2.php?id=22
warnertv华纳,http://iptv.4666888.xyz/iptv2.php?id=23
cinemaxwj,http://iptv.4666888.xyz/iptv2.php?id=24
HBOHD,http://iptv.4666888.xyz/iptv2.php?id=25
amcmovies,http://iptv.4666888.xyz/iptv2.php?id=27
Thrill,http://iptv.4666888.xyz/iptv2.php?id=183
