80周大阅兵,#genre#
电影频道抖,http://sky4726.pp.ua:5080/douyin.php?type=uid&uid=cctv6media.
小央视频抖,http://sky4726.pp.ua:5080/douyin.php?type=uid&uid=cctv_video
央视频抖,http://sky4726.pp.ua:5080/douyin.php?type=uid&uid=CMG_yangshipin
央视网新闻抖,http://sky4726.pp.ua:5080/douyin.php?type=uid&uid=1606137427
央视网抖,http://sky4726.pp.ua:5080/douyin.php?type=uid&uid=cctv.com
CCTV2抖,http://sky4726.pp.ua:5080/douyin.php?type=uid&uid=nuanxinnengl
CCTV7抖,http://sky4726.pp.ua:5080/douyin.php?type=uid&uid=kuaikancctv
济南日报抖,http://sky4726.pp.ua:5080/douyin.php?type=uid&uid=jinanribao
趵突泉抖,http://sky4726.pp.ua:5080/douyin.php?type=uid&uid=68783981096
Global Trekker,https://011.judy.edu.kg/stream/tvb/globaltrekker/master.m3u8?u=judy&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
PopC,https://011.judy.edu.kg/stream/tvb/popc/master.m3u8?u=judy&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
ROCK Action,https://011.judy.edu.kg/stream/tvb/rockaction/master.m3u8?u=judy&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
千禧經典台,https://011.judy.edu.kg/stream/tvb/null/master.m3u8?u=judy&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
凤凰卫视,https://011.judy.edu.kg/stream/tvb/null-4/master.m3u8?u=judy&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
凤凰卫视资讯台,https://011.judy.edu.kg/stream/tvb/null-3/master.m3u8?u=judy&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
凤凰卫视香港台,https://011.judy.edu.kg/stream/tvb/null-2/master.m3u8?u=judy&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
凤凰卫视资讯,http://sky4726.pp.ua:5080/fhx.php?id=1
凤凰卫视中文,http://sky4726.pp.ua:5080/fhx.php?id=2
80周年阅兵回放,https://vd3.bdstatic.com/mda-ri24zxxrst8trduf/576p/h264/1756872226406839383/mda-ri24zxxrst8trduf.mp4?v_from_s=bdapp-resbox-hbf
80周年阅兵回放1,https://vd3.bdstatic.com/mda-ri283wyxe135szm5/576p/h264/1756880513304056354/mda-ri283wyxe135szm5.mp4
80周年阅兵回放2,https://vvip.high26-playback.com/20250903/20785_ad349260/index.m3u8
80周年阅兵回放3,https://vip.dytt-cine.com/20250903/54616_ce842c8a/index.m3u8
80周年阅兵回放5,https://m.douyin.com/aweme/v1/playwm/?video_id=v0200fg10000d2rtbv7og65occl7sv6g&ratio=720p&line=0
80周年阅兵回放6,https://videon.img.ria.ru/Out/Flv/direct/2025_09_03_recording_xp0nzjnu.xwp.mp4
1949阅兵,https://vip.dytt-luck.com/20250923/24454_0af03ed6/index.m3u8
1950年阅兵——新中国第一个国庆节阅兵,https://vip.dytt-luck.com/20250923/24455_b290a635/index.m3u8
1951年国庆大阅兵,https://vip.dytt-luck.com/20250923/24456_a2d336f8/index.m3u8
1952年国庆大阅兵,https://vip.dytt-luck.com/20250923/24457_f1ce00c0/index.m3u8
1953年国庆大阅兵,https://vip.dytt-luck.com/20250923/24458_a6796dbc/index.m3u8
1954年建国五周年国防部长彭德怀阅兵,https://vip.dytt-luck.com/20250923/24459_6320267b/index.m3u8
1955阅兵,https://vip.dytt-luck.com/20250923/24460_d6139184/index.m3u8
1956年国庆大阅兵,https://vip.dytt-luck.com/20250923/24461_f5733e3a/index.m3u8
1957年国庆大阅兵,https://vip.dytt-luck.com/20250923/24462_50299aa5/index.m3u8
1958年10月1日国庆9周年大阅兵,https://vip.dytt-luck.com/20250923/24463_eee75242/index.m3u8
1959庆祝建国十周年,https://vip.dytt-luck.com/20250923/24465_8d7c30cf/index.m3u8
1980年解放军演习,https://vip.dytt-luck.com/20250923/24464_ce169541/index.m3u8
1981年华北军事演习及阅兵式邓小平亲自到场观看,https://vip.dytt-luck.com/20250923/24467_6b3a8f76/index.m3u8
1984年邓小平大阅兵,https://vip.dytt-luck.com/20250923/24468_73a3d9df/index.m3u8
1999八一电影制片厂《世纪大阅兵》,https://vip.dytt-luck.com/20250923/24469_cd53dd33/index.m3u8
1999国庆阅兵,https://vip.dytt-luck.com/20250923/24470_37b47bc2/index.m3u8
2009《盛世大阅兵》,https://vip.dytt-luck.com/20250923/24471_07246f1a/index.m3u8
2009中国海上大阅兵,https://vip.dytt-luck.com/20250923/24472_cd9015a6/index.m3u8
2015中国抗日战争暨世界反法西斯战争胜利70周年阅兵,https://vip.dytt-luck.com/20250923/24466_0608bbe8/index.m3u8
2017建军90周年朱日和阅兵,https://vip.dytt-luck.com/20250923/24473_d0241607/index.m3u8
2019国庆70周年大阅兵.群众游行,https://vip.dytt-luck.com/20250923/24474_4184dfd0/index.m3u8

自营,#genre#
CCTV1综合,http://sky4726.pp.ua:5080/migu720p.php?id=608807420
CCTV2财经,http://sky4726.pp.ua:5080/migu720p.php?id=631780532
CCTV3综艺,http://sky4726.pp.ua:5080/migu720p.php?id=624878271
CCTV4中文国际,http://sky4726.pp.ua:5080/migu720p.php?id=631780421
CCTV5体育,http://sky4726.pp.ua:5080/migu720p.php?id=641886683
CCTV5+体育赛事,http://sky4726.pp.ua:5080/migu720p.php?id=641886773
CCTV6电影,http://sky4726.pp.ua:5080/migu720p.php?id=624878396
CCTV7国防军事,http://sky4726.pp.ua:5080/migu720p.php?id=673168121
CCTV8电视剧,http://sky4726.pp.ua:5080/migu720p.php?id=624878356
CCTV9纪录,http://sky4726.pp.ua:5080/migu720p.php?id=673168140
CCTV10科教,http://sky4726.pp.ua:5080/migu720p.php?id=624878405
CCTV11戏曲,http://sky4726.pp.ua:5080/migu720p.php?id=667987558
CCTV12社会与法,http://sky4726.pp.ua:5080/migu720p.php?id=673168185
CCTV13新闻,http://sky4726.pp.ua:5080/migu720p.php?id=608807423
CCTV14少儿,http://sky4726.pp.ua:5080/migu720p.php?id=624878440
CCTV15音乐,http://sky4726.pp.ua:5080/migu720p.php?id=673168223
CCTV17农业农村,http://sky4726.pp.ua:5080/migu720p.php?id=673168256
CCTV4欧洲,http://sky4726.pp.ua:5080/migu720p.php?id=608807419
CCTV4美洲,http://sky4726.pp.ua:5080/migu720p.php?id=608807416
CGTN外语纪录,http://sky4726.pp.ua:5080/migu720p.php?id=609006487
CGTN阿拉伯语,http://sky4726.pp.ua:5080/migu720p.php?id=609154345
CGTN西班牙语,http://sky4726.pp.ua:5080/migu720p.php?id=609006450
CGTN法语,http://sky4726.pp.ua:5080/migu720p.php?id=609006476
CGTN俄语,http://sky4726.pp.ua:5080/migu720p.php?id=609006446
老故事,http://sky4726.pp.ua:5080/migu720p.php?id=884121956
中学生,http://sky4726.pp.ua:5080/migu720p.php?id=708869532
CGTN,http://sky4726.pp.ua:5080/migu720p.php?id=609017205
东方卫视,http://sky4726.pp.ua:5080/migu720p.php?id=651632648
江苏卫视,http://sky4726.pp.ua:5080/migu720p.php?id=623899368
广东卫视,http://sky4726.pp.ua:5080/migu720p.php?id=608831231
江西卫视,http://sky4726.pp.ua:5080/migu720p.php?id=783847495
河南卫视,http://sky4726.pp.ua:5080/migu720p.php?id=790187291
陕西卫视,http://sky4726.pp.ua:5080/migu720p.php?id=738910838
大湾区卫视,http://sky4726.pp.ua:5080/migu720p.php?id=608917627
湖北卫视,http://sky4726.pp.ua:5080/migu720p.php?id=947472496
吉林卫视,http://sky4726.pp.ua:5080/migu720p.php?id=947472500
青海卫视,http://sky4726.pp.ua:5080/migu720p.php?id=947472506
东南卫视,http://sky4726.pp.ua:5080/migu720p.php?id=849116810
海南卫视,http://sky4726.pp.ua:5080/migu720p.php?id=947472502
海峡卫视,http://sky4726.pp.ua:5080/migu720p.php?id=849119120
中国农林卫视,http://sky4726.pp.ua:5080/migu720p.php?id=956904896
兵团卫视,http://sky4726.pp.ua:5080/migu720p.php?id=956923145
辽宁卫视,http://sky4726.pp.ua:5080/migu720p.php?id=630291707
上海新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=651632657
上视东方影视,http://sky4726.pp.ua:5080/migu720p.php?id=617290047
南京新闻综合频道,http://sky4726.pp.ua:5080/migu720p.php?id=838109047
南京教科频道,http://sky4726.pp.ua:5080/migu720p.php?id=838153729
南京十八频道,http://sky4726.pp.ua:5080/migu720p.php?id=838151753
江苏城市频道,http://sky4726.pp.ua:5080/migu720p.php?id=626064714
江苏国际,http://sky4726.pp.ua:5080/migu720p.php?id=626064674
江苏教育,http://sky4726.pp.ua:5080/migu720p.php?id=628008321
江苏影视频道,http://sky4726.pp.ua:5080/migu720p.php?id=626064697
江苏综艺频道,http://sky4726.pp.ua:5080/migu720p.php?id=626065193
公共新闻频道,http://sky4726.pp.ua:5080/migu720p.php?id=626064693
盐城新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=639731825
淮安新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=639731826
泰州新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=639731818
连云港新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=639731715
宿迁新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=639731832
徐州新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=639731747
优漫卡通频道,http://sky4726.pp.ua:5080/migu720p.php?id=626064703
江阴新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=955227979
南通新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=955227985
宜兴新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=955227996
溧水新闻综合,http://sky4726.pp.ua:5080/migu720p.php?id=639737327
陕西银龄频道,http://sky4726.pp.ua:5080/migu720p.php?id=956909362
陕西都市青春频道,http://sky4726.pp.ua:5080/migu720p.php?id=956909358
陕西体育休闲频道,http://sky4726.pp.ua:5080/migu720p.php?id=956909356
陕西秦腔频道,http://sky4726.pp.ua:5080/migu720p.php?id=956909303
陕西新闻资讯频道,http://sky4726.pp.ua:5080/migu720p.php?id=956909289
财富天下,http://sky4726.pp.ua:5080/migu720p.php?id=956923159
经典香港电影,http://sky4726.pp.ua:5080/migu720p.php?id=625703337
抗战经典影片,http://sky4726.pp.ua:5080/migu720p.php?id=617432318
新片放映厅,http://sky4726.pp.ua:5080/migu720p.php?id=619495952
CHC影迷电影,http://sky4726.pp.ua:5080/migu720p.php?id=952383261
和美乡途轮播台,http://sky4726.pp.ua:5080/migu720p.php?id=713591450
高清大片,http://sky4726.pp.ua:5080/migu720p.php?id=629943678
南方影视,http://sky4726.pp.ua:5080/migu720p.php?id=614961829
血色山河·抗日战争影像志,http://sky4726.pp.ua:5080/migu720p.php?id=713600957
熊猫频道01高清,http://sky4726.pp.ua:5080/migu720p.php?id=609158151
熊猫频道1,http://sky4726.pp.ua:5080/migu720p.php?id=608933610
熊猫频道2,http://sky4726.pp.ua:5080/migu720p.php?id=608933640
熊猫频道3,http://sky4726.pp.ua:5080/migu720p.php?id=608934619
熊猫频道4,http://sky4726.pp.ua:5080/migu720p.php?id=608934721
熊猫频道5,http://sky4726.pp.ua:5080/migu720p.php?id=608935104
熊猫频道6,http://sky4726.pp.ua:5080/migu720p.php?id=608935797
熊猫频道7,http://sky4726.pp.ua:5080/migu720p.php?id=609169286
熊猫频道8,http://sky4726.pp.ua:5080/migu720p.php?id=609169287
熊猫频道9,http://sky4726.pp.ua:5080/migu720p.php?id=609169226
熊猫频道10,http://sky4726.pp.ua:5080/migu720p.php?id=609169285
最强综艺趴,http://sky4726.pp.ua:5080/migu720p.php?id=629942228
嘉佳卡通,http://sky4726.pp.ua:5080/migu720p.php?id=614952364
经典动画大集合,http://sky4726.pp.ua:5080/migu720p.php?id=629942219
新动力量创一流,http://sky4726.pp.ua:5080/migu720p.php?id=713589837
环球旅游,http://sky4726.pp.ua:5080/migu720p.php?id=958475356
钱塘江,http://sky4726.pp.ua:5080/migu720p.php?id=647370520
五环传奇,http://sky4726.pp.ua:5080/migu720p.php?id=707671890
赛事最经典,http://sky4726.pp.ua:5080/migu720p.php?id=646596895
掼蛋精英赛,http://sky4726.pp.ua:5080/migu720p.php?id=631354620
体坛名栏汇,http://sky4726.pp.ua:5080/migu720p.php?id=629943305
四海钓鱼,http://sky4726.pp.ua:5080/migu720p.php?id=637444975
咪咕24小时体育台,http://sky4726.pp.ua:5080/migu720p.php?id=654102378
24小时城市联赛轮播台,http://sky4726.pp.ua:5080/migu720p.php?id=915512915
武术世界,http://sky4726.pp.ua:5080/migu720p.php?id=958475359
CETV1,http://sky4726.pp.ua:5080/migu720p.php?id=923287154
CETV2,http://sky4726.pp.ua:5080/migu720p.php?id=923287211
CETV4,http://sky4726.pp.ua:5080/migu720p.php?id=923287339
山东教育,http://sky4726.pp.ua:5080/migu720p.php?id=609154353

咪咕,#genre#
CCTV-01,http://go.bkpcp.top/mg/cctv1
CCTV-02,http://go.bkpcp.top/mg/cctv2
CCTV-03,http://go.bkpcp.top/mg/cctv3
CCTV-04,http://go.bkpcp.top/mg/cctv4
CCTV-05,http://go.bkpcp.top/mg/cctv5
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-06,http://go.bkpcp.top/mg/cctv6
CCTV-07,http://go.bkpcp.top/mg/cctv7
CCTV-08,http://go.bkpcp.top/mg/cctv8
CCTV-09,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-16,http://go.bkpcp.top/mg/cctv16
CCTV-17,http://go.bkpcp.top/mg/cctv17
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne
CGTN-阿,http://go.bkpcp.top/mg/cgtna
