✈️ TG频道@stymei,#genre#
☁️官网地址jsnzkpg.com,https://k0u3cydy43y9zw2408x8760xfx5xx9z.djvod.ndcimgs.com/upic/2026/03/07/21/BMjAyNjAzMDcyMTIyMzlfNDI0MDI5NTBfMTg5Nzk0ODUxNjg5XzFfMw==_b_Bc33d39ac3524c256f9ddabce4588794b.mp4
新西兰联,#genre#
奥塔哥掘金 vs 泰莱之鹰 - 直播4 (线路1),https://live.666666.zip/live/3890063.m3u8
奥塔哥掘金 vs 泰莱之鹰 - 直播4 (线路2),https://pul-tenm.gkykp.com/live/sd-2-3890063.m3u8?txSecret=da76636abbe324998ed931748140bff5&txTime=6A59DF98
中女锦,#genre#
上海浦发银行女篮 vs 北京首钢园女篮 - 直播1 (线路1),https://live.666666.zip/live/3924122.m3u8
上海浦发银行女篮 vs 北京首钢园女篮 - 直播1 (线路2),https://pul-tenm.gkykp.com/live/sd-2-3924122.m3u8?txSecret=b6d6d1522c32156c6d3a1a5adcab7a29&txTime=6A59DF98
厦门银行女篮 vs 四川远达美乐女篮 - 直播5 (线路1),https://live.666666.zip/live/3924123.m3u8
上海浦发银行女篮 vs 北京首钢园女篮 - 原声87 (线路1),https://live.666666.zip/live/3924122.m3u8
上海浦发银行女篮 vs 北京首钢园女篮 - 原声87 (线路2),https://pul-tenm.gkykp.com/live/sd-2-3924122.m3u8?txSecret=b6d6d1522c32156c6d3a1a5adcab7a29&txTime=6A59DF98
新西兰联,#genre#
奥塔哥掘金 vs 泰莱之鹰 - 原声88 (线路1),https://live.666666.zip/live/3890063.m3u8
奥塔哥掘金 vs 泰莱之鹰 - 原声88 (线路2),https://pul-tenm.gkykp.com/live/sd-2-3890063.m3u8?txSecret=da76636abbe324998ed931748140bff5&txTime=6A59DF98
小红书世界杯,#genre#
法国 0-2 西班牙 ·7/15 03:00 完场 · 半决赛,https://sports.de5.net/xiaohongshu/xhs.php?match_id=4459812
英格兰 1-2 阿根廷 ·7/16 03:00 完场 · 半决赛,https://sports.de5.net/xiaohongshu/xhs.php?match_id=4459813
法国 vs 英格兰 ·7/19 05:00 未开赛,https://sports.de5.net/xiaohongshu/xhs.php?match_id=4459814
咪咕甘肃,#genre#
中国天气,https://live.chinacert.cftest5.cn/cnmg/live/959986621
